order_id,customer_id,user_id,created_at,status,gross_amount,discount_amount,tax_amount,shipping_amount,total_amount,net_amount,currency,completed_at
65,326,168,2025-06-03,completed,176.4,0.0,14.11,1.15,191.66,176.4,USD,2025-06-05 11:00:00
66,309,4,2025-02-06,completed,165.87,0.0,13.27,2.15,181.29,165.87,USD,2025-02-08 23:00:00
67,441,177,2025-05-15,completed,190.43,0.0,15.23,5.25,210.91,190.43,USD,2025-05-17 10:00:00
68,196,643,2026-04-18,completed,521.64,101.94,33.58,1.72,455.0,419.7,USD,2026-04-18 07:00:00
69,71,474,2026-03-30,cancelled,249.99,45.18,16.38,11.37,232.56,204.81,USD,2026-03-31 06:00:00
70,148,741,2025-03-16,completed,116.48,0.0,9.32,7.56,133.36,116.48,USD,2025-03-17 10:00:00
71,115,668,2025-08-22,completed,421.27,46.12,30.01,6.16,411.32,375.15,USD,2025-08-23 21:00:00
72,479,122,2026-05-09,completed,279.52,0.0,22.36,10.87,312.75,279.52,USD,2026-05-11 21:00:00
73,284,47,2026-05-05,completed,118.26,0.0,9.46,4.39,132.11,118.26,USD,2026-05-06 08:00:00
74,214,18,2025-01-11,refunded,380.48,59.46,25.68,13.07,359.77,0.0,USD,2025-01-12 01:00:00
75,13,152,2026-04-23,completed,52.59,6.39,3.7,9.81,59.71,46.2,USD,2026-04-25 16:00:00
76,356,384,2026-04-23,refunded,66.62,0.0,5.33,5.2,77.15,0.0,USD,2026-04-25 05:00:00
77,324,14,2025-03-12,completed,37.41,0.0,2.99,8.1,48.5,37.41,USD,2025-03-13 09:00:00
78,406,695,2025-08-04,pending,22.08,0.0,1.77,3.89,27.74,22.08,USD,2025-08-06 18:00:00
79,66,383,2025-02-02,completed,363.06,0.0,29.04,14.77,406.87,363.06,USD,2025-02-02 21:00:00
80,329,590,2026-02-03,completed,192.12,39.77,12.19,6.53,171.07,152.35,USD,2026-02-03 17:00:00
81,181,699,2026-06-08,completed,41.06,0.0,3.28,13.45,57.79,41.06,USD,2026-06-08 01:00:00
82,117,28,2025-04-19,completed,162.74,28.09,10.77,14.67,160.09,134.65,USD,2025-04-19 05:00:00
83,112,348,2025-08-02,completed,305.18,37.57,21.41,8.04,297.06,267.61,USD,2025-08-04 14:00:00
84,144,539,2025-11-22,completed,92.65,0.0,7.41,10.95,111.01,92.65,USD,2025-11-22 05:00:00
85,367,798,2025-02-13,completed,131.5,12.83,9.49,8.58,136.74,118.67,USD,2025-02-15 07:00:00
86,12,655,2025-07-01,completed,563.61,75.47,39.05,1.37,528.56,488.14,USD,2025-07-01 05:00:00
87,474,174,2025-05-12,completed,140.76,0.0,11.26,14.29,166.31,140.76,USD,2025-05-12 16:00:00
88,485,217,2025-01-03,completed,44.53,0.0,3.56,6.85,54.94,44.53,USD,2025-01-04 01:00:00
89,484,640,2026-02-10,completed,110.98,21.69,7.14,13.41,109.84,89.29,USD,2026-02-10 15:00:00
90,418,523,2026-03-17,refunded,38.25,3.65,2.77,9.83,47.2,0.0,USD,2026-03-17 09:00:00
91,162,200,2025-02-18,completed,263.97,0.0,21.12,1.58,286.67,263.97,USD,2025-02-20 23:00:00
92,203,396,2025-03-21,completed,82.09,3.44,6.29,6.26,91.2,78.65,USD,2025-03-22 05:00:00
93,64,744,2025-02-12,completed,79.9,8.22,5.73,2.94,80.35,71.68,USD,2025-02-13 06:00:00
94,447,165,2026-07-25,completed,596.29,107.02,39.14,2.55,530.96,489.27,USD,2026-07-27 06:00:00
95,386,264,2025-12-12,completed,60.2,0.0,4.82,10.73,75.75,60.2,USD,2025-12-14 17:00:00
96,77,722,2025-11-27,completed,50.57,0.0,4.05,0.45,55.07,50.57,USD,2025-11-27 21:00:00
97,496,539,2025-02-22,refunded,69.74,14.96,4.38,14.49,73.65,0.0,USD,2025-02-23 08:00:00
98,22,179,2025-01-02,pending,311.56,0.0,24.92,6.75,343.23,311.56,USD,2025-01-03 10:00:00
99,384,230,2026-07-18,completed,240.86,0.0,19.27,7.35,267.48,240.86,USD,2026-07-18 18:00:00
100,68,673,2026-07-28,completed,109.84,3.48,8.51,4.49,119.36,106.36,USD,2026-07-28 09:00:00
101,375,225,2025-11-27,completed,101.98,0.0,8.16,1.28,111.42,101.98,USD,2025-11-29 18:00:00
102,442,562,2025-03-22,completed,228.32,5.57,17.82,8.82,249.39,222.75,USD,2025-03-24 02:00:00
103,476,397,2025-01-19,completed,197.36,0.0,15.79,5.17,218.32,197.36,USD,2025-01-21 00:00:00
104,81,177,2026-05-22,completed,147.74,2.38,11.63,9.36,166.35,145.36,USD,2026-05-22 22:00:00
105,83,295,2025-11-17,completed,246.6,0.0,19.73,8.34,274.67,246.6,USD,2025-11-18 23:00:00
106,35,570,2025-07-19,completed,65.65,13.72,4.15,3.25,59.33,51.93,USD,2025-07-19 09:00:00
107,412,642,2025-01-08,completed,83.28,0.0,6.66,6.92,96.86,83.28,USD,2025-01-08 08:00:00
108,93,21,2025-12-11,completed,255.48,0.0,20.44,4.62,280.54,255.48,USD,2025-12-13 20:00:00
109,196,725,2026-06-17,completed,208.81,28.08,14.46,3.6,198.79,180.73,USD,2026-06-17 16:00:00
110,208,190,2026-05-23,completed,171.19,26.91,11.54,11.55,167.37,144.28,USD,2026-05-25 07:00:00
111,176,520,2026-03-20,completed,582.87,0.0,46.63,0.18,629.68,582.87,USD,2026-03-20 20:00:00
112,249,229,2025-01-31,refunded,284.2,0.0,22.74,4.03,310.97,0.0,USD,2025-02-01 22:00:00
113,175,215,2026-04-05,cancelled,112.49,10.84,8.13,7.97,117.75,101.65,USD,2026-04-06 20:00:00
114,118,712,2026-02-17,pending,89.55,20.85,5.5,7.14,81.34,68.7,USD,2026-02-19 04:00:00
115,194,561,2026-05-25,refunded,215.82,0.0,17.27,14.1,247.19,0.0,USD,2026-05-27 20:00:00
116,403,733,2025-04-01,completed,362.32,17.98,27.55,12.65,384.54,344.34,USD,2025-04-02 06:00:00
117,59,17,2026-06-08,completed,32.47,0.0,2.6,11.27,46.34,32.47,USD,2026-06-10 14:00:00
118,480,217,2026-03-11,completed,205.0,32.71,13.78,7.71,193.78,172.29,USD,2026-03-11 21:00:00
119,205,39,2026-04-10,completed,129.83,0.0,10.39,6.43,146.65,129.83,USD,2026-04-12 21:00:00
120,146,380,2025-04-08,completed,192.08,0.0,15.37,0.55,208.0,192.08,USD,2025-04-09 11:00:00
121,223,370,2026-06-04,completed,47.15,7.71,3.16,12.33,54.93,39.44,USD,2026-06-06 12:00:00
122,466,786,2025-01-14,pending,362.15,0.0,28.97,6.46,397.58,362.15,USD,2025-01-16 11:00:00
123,405,185,2025-05-16,completed,427.2,36.87,31.23,4.81,426.37,390.33,USD,2025-05-17 21:00:00
124,409,533,2025-04-05,completed,266.86,0.0,21.35,9.1,297.31,266.86,USD,2025-04-07 21:00:00
125,111,796,2025-05-21,cancelled,483.5,0.0,38.68,11.31,533.49,483.5,USD,2025-05-23 00:00:00
126,444,56,2026-01-15,completed,124.88,29.06,7.67,7.85,111.34,95.82,USD,2026-01-16 19:00:00
127,354,357,2026-07-16,completed,201.59,5.52,15.69,2.24,214.0,196.07,USD,2026-07-16 18:00:00
128,30,314,2026-08-22,completed,269.56,0.0,21.56,13.82,304.94,269.56,USD,2026-08-23 03:00:00
129,214,22,2025-03-07,refunded,217.82,16.25,16.13,1.69,219.39,0.0,USD,2025-03-07 00:00:00
130,418,338,2026-08-12,refunded,137.54,0.0,11.0,14.54,163.08,0.0,USD,2026-08-14 03:00:00
131,267,203,2025-03-08,completed,148.94,26.09,9.83,6.64,139.32,122.85,USD,2025-03-09 19:00:00
132,293,246,2026-03-29,completed,402.35,0.0,32.19,14.2,448.74,402.35,USD,2026-03-31 02:00:00
133,188,171,2025-04-22,refunded,164.91,0.0,13.19,13.72,191.82,0.0,USD,2025-04-23 21:00:00
134,20,416,2026-05-16,completed,348.77,0.0,27.9,6.09,382.76,348.77,USD,2026-05-16 17:00:00
135,443,319,2025-07-31,completed,158.66,16.02,11.41,12.0,166.05,142.64,USD,2025-08-02 23:00:00
136,377,589,2026-06-15,completed,347.4,2.28,27.61,1.35,374.08,345.12,USD,2026-06-16 07:00:00
137,136,283,2025-11-25,completed,178.04,42.9,10.81,1.24,147.19,135.14,USD,2025-11-27 02:00:00
138,121,554,2025-11-17,completed,254.54,0.0,20.36,5.34,280.24,254.54,USD,2025-11-17 09:00:00
139,260,422,2025-09-25,pending,98.92,0.0,7.91,9.15,115.98,98.92,USD,2025-09-26 18:00:00
140,399,282,2025-05-19,completed,201.29,0.0,16.1,0.14,217.53,201.29,USD,2025-05-20 04:00:00
141,44,659,2025-11-09,completed,100.11,18.46,6.53,7.73,95.91,81.65,USD,2025-11-11 18:00:00
142,313,590,2026-02-06,completed,122.51,0.0,9.8,14.63,146.94,122.51,USD,2026-02-08 06:00:00
143,424,421,2025-03-27,completed,130.34,12.94,9.39,12.88,139.67,117.4,USD,2025-03-29 19:00:00
144,247,428,2025-03-27,completed,147.04,0.0,11.76,3.49,162.29,147.04,USD,2025-03-27 22:00:00
145,27,611,2025-09-17,completed,321.33,73.03,19.86,7.92,276.08,248.3,USD,2025-09-18 23:00:00
146,12,616,2026-05-21,completed,118.87,0.0,9.51,2.57,130.95,118.87,USD,2026-05-22 21:00:00
147,82,570,2025-08-03,completed,186.89,0.0,14.95,3.95,205.79,186.89,USD,2025-08-03 18:00:00
148,445,92,2025-09-08,completed,348.13,38.42,24.78,13.85,348.34,309.71,USD,2025-09-08 23:00:00
149,229,185,2026-08-06,completed,250.94,55.64,15.62,14.97,225.89,195.3,USD,2026-08-08 00:00:00
150,74,324,2025-06-11,refunded,33.19,0.29,2.63,3.64,39.17,0.0,USD,2025-06-11 10:00:00
151,453,461,2025-08-11,pending,45.92,0.26,3.65,3.18,52.49,45.66,USD,2025-08-12 04:00:00
152,415,316,2026-05-27,completed,220.66,11.35,16.74,5.76,231.81,209.31,USD,2026-05-29 05:00:00
153,74,663,2025-11-11,cancelled,114.23,0.0,9.14,6.69,130.06,114.23,USD,2025-11-13 12:00:00
154,345,282,2025-03-09,completed,39.91,0.0,3.19,1.34,44.44,39.91,USD,2025-03-10 18:00:00
155,166,436,2025-05-11,cancelled,107.77,7.69,8.01,2.22,110.31,100.08,USD,2025-05-13 00:00:00
156,35,559,2026-08-15,completed,226.43,35.61,15.27,6.37,212.46,190.82,USD,2026-08-17 11:00:00
157,32,302,2026-05-08,completed,129.23,0.0,10.34,3.53,143.1,129.23,USD,2026-05-08 16:00:00
158,272,446,2026-07-31,completed,174.19,0.0,13.94,12.67,200.8,174.19,USD,2026-08-02 00:00:00
159,422,582,2025-10-19,completed,138.24,16.14,9.77,11.27,143.14,122.1,USD,2025-10-21 04:00:00
160,481,309,2026-01-05,completed,96.07,0.0,7.69,8.05,111.81,96.07,USD,2026-01-07 10:00:00
161,353,777,2025-03-25,completed,198.54,49.26,11.94,6.49,167.71,149.28,USD,2025-03-26 19:00:00
162,462,430,2026-03-09,completed,35.76,1.46,2.74,12.46,49.5,34.3,USD,2026-03-09 11:00:00
163,118,630,2025-12-12,completed,86.37,0.0,6.91,2.49,95.77,86.37,USD,2025-12-12 03:00:00
164,74,564,2025-01-23,pending,283.48,0.0,22.68,13.31,319.47,283.48,USD,2025-01-24 20:00:00
165,56,652,2026-05-30,completed,47.34,0.0,3.79,0.74,51.87,47.34,USD,2026-05-30 19:00:00
166,87,541,2025-09-23,completed,167.92,0.0,13.43,13.85,195.2,167.92,USD,2025-09-24 02:00:00
167,377,432,2026-08-26,completed,121.54,15.2,8.51,2.08,116.93,106.34,USD,2026-08-27 09:00:00
168,77,609,2026-06-21,completed,112.73,9.96,8.22,12.18,123.17,102.77,USD,2026-06-23 05:00:00
169,217,374,2025-09-13,completed,301.72,17.7,22.72,0.27,307.01,284.02,USD,2025-09-14 01:00:00
170,379,682,2025-01-07,completed,341.53,0.0,27.32,12.23,381.08,341.53,USD,2025-01-08 17:00:00
171,464,402,2025-03-30,completed,69.59,8.06,4.92,8.76,75.21,61.53,USD,2025-03-31 11:00:00
172,81,592,2025-06-26,completed,147.94,0.0,11.84,0.29,160.07,147.94,USD,2025-06-26 03:00:00
173,94,166,2025-06-30,completed,26.42,1.08,2.03,11.61,38.98,25.34,USD,2025-07-02 01:00:00
174,33,145,2025-08-03,completed,290.45,0.0,23.24,1.52,315.21,290.45,USD,2025-08-04 14:00:00
175,57,452,2026-08-03,refunded,161.6,24.08,11.0,8.1,156.62,0.0,USD,2026-08-03 15:00:00
176,196,678,2026-02-14,refunded,44.26,0.0,3.54,4.98,52.78,0.0,USD,2026-02-16 05:00:00
177,158,588,2025-04-26,completed,89.9,0.0,7.19,11.39,108.48,89.9,USD,2025-04-26 07:00:00
178,484,266,2026-03-04,completed,64.22,1.52,5.02,12.8,80.52,62.7,USD,2026-03-04 18:00:00
179,223,685,2025-02-04,pending,85.66,0.0,6.85,6.96,99.47,85.66,USD,2025-02-04 17:00:00
180,155,533,2025-02-09,completed,29.32,0.0,2.35,11.37,43.04,29.32,USD,2025-02-10 23:00:00
181,235,446,2026-01-27,completed,399.56,28.19,29.71,13.75,414.83,371.37,USD,2026-01-29 23:00:00
182,363,793,2025-05-13,completed,71.94,0.0,5.76,10.34,88.04,71.94,USD,2025-05-15 12:00:00
183,169,624,2025-09-23,completed,167.63,0.0,13.41,4.83,185.87,167.63,USD,2025-09-23 09:00:00
184,72,236,2026-05-17,refunded,225.0,0.0,18.0,6.95,249.95,0.0,USD,2026-05-17 04:00:00
185,211,53,2025-08-24,refunded,341.85,0.0,27.35,3.45,372.65,0.0,USD,2025-08-26 08:00:00
186,311,217,2025-04-27,completed,171.86,21.49,12.03,6.88,169.28,150.37,USD,2025-04-28 17:00:00
187,159,142,2026-08-30,completed,136.64,29.74,8.55,3.69,119.14,106.9,USD,2026-08-31 01:00:00
188,291,146,2025-06-23,refunded,177.12,0.0,14.17,12.11,203.4,0.0,USD,2025-06-25 15:00:00
189,163,419,2026-02-04,completed,69.25,0.0,5.54,9.15,83.94,69.25,USD,2026-02-04 12:00:00
190,453,788,2025-04-09,completed,74.27,7.6,5.33,9.5,81.5,66.67,USD,2025-04-09 09:00:00
191,444,520,2025-04-09,completed,134.24,27.79,8.52,1.65,116.62,106.45,USD,2025-04-10 11:00:00
192,359,342,2026-04-03,cancelled,18.93,0.0,1.51,0.02,20.46,18.93,USD,2026-04-03 19:00:00
193,419,199,2026-06-29,completed,97.75,13.04,6.78,11.84,103.33,84.71,USD,2026-06-29 16:00:00
194,61,628,2025-01-17,completed,115.8,0.0,9.26,8.13,133.19,115.8,USD,2025-01-18 21:00:00
195,327,439,2026-08-15,completed,530.3,0.0,42.42,13.97,586.69,530.3,USD,2026-08-15 21:00:00
196,203,40,2025-07-03,completed,371.01,38.98,26.56,8.06,366.65,332.03,USD,2025-07-04 18:00:00
197,389,373,2026-08-22,completed,224.43,21.98,16.2,3.22,221.87,202.45,USD,2026-08-23 16:00:00
198,1,145,2025-11-20,refunded,295.31,0.0,23.62,10.48,329.41,0.0,USD,2025-11-22 09:00:00
199,94,399,2026-04-10,pending,73.72,9.89,5.11,10.51,79.45,63.83,USD,2026-04-12 22:00:00
200,121,51,2025-01-04,completed,180.56,40.8,11.18,0.98,151.92,139.76,USD,2025-01-05 21:00:00
201,279,171,2025-04-06,completed,271.35,49.3,17.76,10.4,250.21,222.05,USD,2025-04-06 20:00:00
202,486,653,2026-08-03,pending,74.31,6.52,5.42,3.19,76.4,67.79,USD,2026-08-04 17:00:00
203,449,136,2025-04-11,completed,46.05,0.0,3.68,3.82,53.55,46.05,USD,2025-04-12 10:00:00
204,228,86,2026-06-12,completed,208.32,20.3,15.04,0.47,203.53,188.02,USD,2026-06-13 08:00:00
205,1,177,2025-03-13,completed,51.22,0.0,4.1,9.41,64.73,51.22,USD,2025-03-14 00:00:00
206,434,739,2026-01-28,completed,238.72,0.0,19.1,10.98,268.8,238.72,USD,2026-01-28 05:00:00
207,287,759,2025-08-14,completed,338.02,0.0,27.04,3.46,368.52,338.02,USD,2025-08-14 17:00:00
208,12,532,2025-09-24,completed,76.38,11.08,5.22,11.89,82.41,65.3,USD,2025-09-25 18:00:00
209,323,625,2026-03-08,completed,81.53,0.0,6.52,11.43,99.48,81.53,USD,2026-03-08 05:00:00
210,441,728,2025-04-05,completed,331.53,0.0,26.52,6.15,364.2,331.53,USD,2025-04-05 11:00:00
211,436,237,2025-07-28,completed,172.54,23.92,11.89,1.02,161.53,148.62,USD,2025-07-29 17:00:00
212,445,328,2025-12-03,completed,302.93,0.0,24.23,4.2,331.36,302.93,USD,2025-12-05 23:00:00
213,488,23,2025-08-07,completed,138.01,0.0,11.04,2.48,151.53,138.01,USD,2025-08-07 12:00:00
214,327,421,2025-05-26,completed,145.93,0.0,11.67,14.38,171.98,145.93,USD,2025-05-26 05:00:00
215,307,741,2025-01-27,cancelled,169.3,24.65,11.57,12.27,168.49,144.65,USD,2025-01-28 01:00:00
216,59,23,2026-01-23,pending,462.68,0.0,37.01,1.18,500.87,462.68,USD,2026-01-23 05:00:00
217,317,570,2025-02-07,completed,287.4,0.0,22.99,7.7,318.09,287.4,USD,2025-02-09 16:00:00
218,439,373,2025-03-30,completed,95.13,0.0,7.61,4.0,106.74,95.13,USD,2025-04-01 08:00:00
219,407,773,2025-05-25,cancelled,189.95,8.53,14.51,0.48,196.41,181.42,USD,2025-05-25 08:00:00
220,450,473,2026-03-12,completed,130.8,24.03,8.54,4.83,120.14,106.77,USD,2026-03-12 07:00:00
221,86,325,2025-03-16,pending,112.72,0.0,9.02,1.91,123.65,112.72,USD,2025-03-17 14:00:00
222,101,81,2025-07-16,completed,234.18,32.28,16.15,3.34,221.39,201.9,USD,2025-07-17 05:00:00
223,430,449,2025-02-14,completed,202.52,34.06,13.48,4.9,186.84,168.46,USD,2025-02-16 01:00:00
224,471,785,2025-11-01,completed,77.14,12.59,5.16,6.13,75.84,64.55,USD,2025-11-03 18:00:00
225,264,11,2025-04-20,completed,169.61,0.0,13.57,7.03,190.21,169.61,USD,2025-04-21 00:00:00
226,441,4,2025-04-09,refunded,110.01,0.0,8.8,7.8,126.61,0.0,USD,2025-04-11 08:00:00
227,342,713,2025-07-14,completed,224.14,6.19,17.44,5.55,240.94,217.95,USD,2025-07-14 23:00:00
228,103,214,2025-06-05,completed,106.18,0.0,8.49,7.48,122.15,106.18,USD,2025-06-05 16:00:00
229,254,487,2025-01-30,completed,146.59,0.0,11.73,6.27,164.59,146.59,USD,2025-02-01 21:00:00
230,197,493,2025-10-01,pending,115.17,0.0,9.21,14.47,138.85,115.17,USD,2025-10-01 18:00:00
231,395,385,2025-11-02,cancelled,34.45,0.0,2.76,1.01,38.22,34.45,USD,2025-11-02 10:00:00
232,169,399,2025-10-06,completed,448.04,35.04,33.04,8.79,454.83,413.0,USD,2025-10-07 18:00:00
233,88,551,2025-09-26,completed,168.26,0.0,13.46,2.9,184.62,168.26,USD,2025-09-27 18:00:00
234,250,192,2026-08-30,completed,458.04,18.01,35.2,5.63,480.86,440.03,USD,2026-08-31 11:00:00
235,248,144,2025-06-16,completed,173.8,12.97,12.87,8.2,181.9,160.83,USD,2025-06-16 06:00:00
236,445,790,2025-07-23,refunded,263.17,0.0,21.05,11.4,295.62,0.0,USD,2025-07-23 08:00:00
237,5,7,2025-11-07,completed,100.32,0.0,8.03,14.67,123.02,100.32,USD,2025-11-09 06:00:00
238,438,152,2025-02-21,pending,102.35,0.0,8.19,7.4,117.94,102.35,USD,2025-02-21 11:00:00
239,106,584,2026-08-24,completed,161.54,0.0,12.92,3.85,178.31,161.54,USD,2026-08-24 19:00:00
240,88,455,2025-11-15,pending,455.42,15.82,35.17,11.87,486.64,439.6,USD,2025-11-17 09:00:00
241,210,258,2026-02-27,pending,79.47,15.13,5.15,3.32,72.81,64.34,USD,2026-02-28 00:00:00
242,276,93,2025-07-15,completed,26.31,0.09,2.1,7.62,35.94,26.22,USD,2025-07-16 00:00:00
243,465,294,2026-02-24,cancelled,326.52,33.19,23.47,12.7,329.5,293.33,USD,2026-02-26 17:00:00
244,268,45,2026-06-17,completed,274.08,0.0,21.93,6.06,302.07,274.08,USD,2026-06-19 09:00:00
245,73,443,2025-12-18,completed,120.29,21.17,7.93,8.35,115.4,99.12,USD,2025-12-20 03:00:00
246,226,391,2025-05-08,completed,569.88,0.0,45.59,1.79,617.26,569.88,USD,2025-05-08 13:00:00
