subscription_id,customer_id,plan,billing_period,amount,mrr_amount,status,started_at,cancelled_at,seats
53,171,starter,monthly,49.0,49.0,cancelled,2026-08-10,2027-09-10,39
54,36,growth,annual,2149.2,179.1,active,2026-06-01,,3
55,500,scale,annual,5389.2,449.1,active,2025-06-25,,32
56,448,scale,monthly,499.0,499.0,active,2026-05-21,,2
57,219,scale,monthly,499.0,499.0,active,2025-10-13,,4
58,123,growth,monthly,199.0,199.0,active,2026-02-06,,29
59,223,scale,monthly,499.0,499.0,active,2025-06-04,,43
60,119,growth,monthly,199.0,199.0,active,2026-05-09,,35
61,37,scale,monthly,499.0,499.0,active,2025-10-10,,21
62,199,starter,monthly,49.0,49.0,active,2026-04-19,,19
63,82,scale,annual,5389.2,449.1,active,2025-05-31,,24
64,54,starter,annual,529.2,44.1,active,2026-08-08,,15
65,492,starter,monthly,49.0,49.0,active,2025-09-13,,1
66,12,growth,annual,2149.2,179.1,active,2026-02-03,,40
67,415,starter,monthly,49.0,49.0,active,2025-11-21,,26
68,458,starter,monthly,49.0,49.0,active,2025-12-29,,43
69,217,scale,annual,5389.2,449.1,active,2025-06-05,,29
70,432,growth,monthly,199.0,199.0,active,2026-07-04,,19
71,254,scale,monthly,499.0,499.0,active,2025-05-07,,4
72,459,scale,monthly,499.0,499.0,active,2025-08-08,,37
73,415,growth,monthly,199.0,199.0,active,2025-09-19,,30
74,339,enterprise,monthly,1500.0,1500.0,active,2025-10-27,,43
75,288,starter,annual,529.2,44.1,active,2025-05-18,,12
76,7,starter,annual,529.2,44.1,active,2026-06-06,,19
77,141,starter,monthly,49.0,49.0,active,2026-01-09,,12
78,487,scale,monthly,499.0,499.0,cancelled,2026-08-18,2027-09-08,8
79,461,starter,annual,529.2,44.1,cancelled,2025-08-02,2026-04-02,44
80,355,growth,annual,2149.2,179.1,active,2025-09-13,,19
81,248,growth,monthly,199.0,199.0,cancelled,2025-12-13,2026-01-27,1
82,208,scale,annual,5389.2,449.1,past_due,2025-12-25,,4
83,210,scale,annual,5389.2,449.1,trialing,2025-04-15,,17
84,367,starter,monthly,49.0,49.0,active,2026-05-24,,2
85,134,starter,monthly,49.0,49.0,past_due,2026-08-27,,44
86,284,growth,annual,2149.2,179.1,active,2025-11-11,,41
87,314,scale,annual,5389.2,449.1,active,2025-08-18,,45
88,336,starter,monthly,49.0,49.0,active,2025-09-03,,42
89,83,scale,annual,5389.2,449.1,active,2025-02-07,,3
90,413,starter,annual,529.2,44.1,active,2025-02-09,,32
91,217,starter,monthly,49.0,49.0,active,2025-08-16,,42
92,469,starter,monthly,49.0,49.0,cancelled,2025-05-09,2026-06-03,42
93,222,scale,annual,5389.2,449.1,active,2025-06-29,,23
94,399,scale,monthly,499.0,499.0,active,2025-07-21,,46
95,56,growth,monthly,199.0,199.0,active,2025-04-19,,9
96,448,scale,annual,5389.2,449.1,active,2025-09-01,,34
97,14,growth,annual,2149.2,179.1,active,2025-01-23,,14
98,284,starter,monthly,49.0,49.0,cancelled,2026-04-17,2026-07-14,45
99,375,scale,monthly,499.0,499.0,active,2026-02-26,,44
100,170,starter,annual,529.2,44.1,trialing,2025-04-12,,46
101,479,enterprise,monthly,1500.0,1500.0,active,2025-04-10,,4
102,335,scale,monthly,499.0,499.0,active,2025-02-13,,14
103,452,scale,annual,5389.2,449.1,active,2025-04-23,,20
104,279,growth,annual,2149.2,179.1,cancelled,2025-12-23,2026-05-13,47
105,354,scale,monthly,499.0,499.0,cancelled,2025-02-15,2026-02-04,33
106,29,starter,monthly,49.0,49.0,cancelled,2025-01-05,2025-08-18,49
107,33,growth,monthly,199.0,199.0,active,2025-12-13,,43
108,288,starter,monthly,49.0,49.0,active,2026-07-20,,14
109,186,growth,annual,2149.2,179.1,active,2025-10-12,,10
110,209,growth,monthly,199.0,199.0,trialing,2025-06-05,,31
111,308,starter,monthly,49.0,49.0,active,2026-05-20,,39
112,185,starter,monthly,49.0,49.0,active,2026-05-22,,11
113,499,growth,monthly,199.0,199.0,active,2026-05-23,,33
114,363,enterprise,monthly,1500.0,1500.0,active,2025-08-19,,20
115,303,growth,monthly,199.0,199.0,trialing,2025-01-25,,39
116,443,growth,monthly,199.0,199.0,cancelled,2026-08-30,2027-01-02,31
117,12,enterprise,annual,16200.0,1350.0,active,2026-06-28,,35
118,99,scale,annual,5389.2,449.1,cancelled,2025-11-01,2025-12-07,2
119,415,scale,monthly,499.0,499.0,trialing,2026-04-22,,42
120,398,growth,monthly,199.0,199.0,cancelled,2026-08-08,2026-11-13,32
121,292,growth,monthly,199.0,199.0,active,2025-02-05,,10
122,85,starter,monthly,49.0,49.0,cancelled,2025-10-12,2026-08-23,24
123,149,scale,annual,5389.2,449.1,cancelled,2026-06-07,2027-03-29,14
124,289,starter,annual,529.2,44.1,past_due,2026-03-10,,7
125,43,scale,monthly,499.0,499.0,cancelled,2025-03-08,2025-06-07,24
126,425,scale,annual,5389.2,449.1,active,2025-02-08,,34
127,166,growth,monthly,199.0,199.0,active,2025-07-17,,39
128,453,starter,monthly,49.0,49.0,active,2025-09-28,,47
129,268,starter,monthly,49.0,49.0,active,2025-03-17,,31
130,155,growth,monthly,199.0,199.0,cancelled,2025-06-14,2026-06-12,1
131,21,starter,monthly,49.0,49.0,trialing,2025-11-07,,20
132,410,starter,monthly,49.0,49.0,active,2026-04-27,,22
133,332,starter,monthly,49.0,49.0,active,2025-12-11,,49
134,440,growth,monthly,199.0,199.0,cancelled,2025-11-20,2026-05-26,7
135,109,growth,monthly,199.0,199.0,active,2026-03-27,,44
136,87,starter,monthly,49.0,49.0,active,2026-01-24,,11
137,118,growth,monthly,199.0,199.0,cancelled,2025-05-18,2026-03-02,33
138,193,growth,monthly,199.0,199.0,active,2025-06-04,,25
139,189,growth,monthly,199.0,199.0,cancelled,2025-03-12,2025-12-14,48
140,389,scale,monthly,499.0,499.0,active,2025-03-12,,15
141,477,starter,annual,529.2,44.1,cancelled,2026-05-19,2026-07-30,24
142,8,growth,monthly,199.0,199.0,active,2026-02-18,,32
143,268,starter,annual,529.2,44.1,active,2026-01-25,,10
144,313,starter,monthly,49.0,49.0,active,2025-09-26,,13
145,120,growth,annual,2149.2,179.1,active,2025-02-24,,37
146,208,growth,monthly,199.0,199.0,active,2025-09-11,,39
147,367,growth,annual,2149.2,179.1,cancelled,2025-04-04,2025-06-03,34
148,259,enterprise,monthly,1500.0,1500.0,active,2026-08-09,,9
149,32,scale,annual,5389.2,449.1,cancelled,2025-09-02,2026-05-16,11
150,210,starter,monthly,49.0,49.0,cancelled,2025-03-13,2026-01-26,45
151,163,growth,annual,2149.2,179.1,active,2025-06-21,,45
152,98,growth,monthly,199.0,199.0,active,2026-01-26,,20
153,52,growth,monthly,199.0,199.0,active,2025-10-01,,28
154,175,growth,monthly,199.0,199.0,cancelled,2025-02-06,2026-02-18,3
155,431,enterprise,monthly,1500.0,1500.0,active,2025-08-08,,33
156,431,growth,monthly,199.0,199.0,active,2026-02-20,,5
157,79,scale,monthly,499.0,499.0,cancelled,2025-11-19,2026-10-13,5
158,306,growth,monthly,199.0,199.0,active,2025-12-06,,27
159,369,scale,monthly,499.0,499.0,active,2026-02-06,,42
160,239,starter,monthly,49.0,49.0,active,2026-03-18,,45
161,18,starter,monthly,49.0,49.0,active,2025-09-17,,22
162,354,growth,annual,2149.2,179.1,cancelled,2026-04-01,2026-12-04,26
163,83,growth,monthly,199.0,199.0,cancelled,2026-07-04,2027-02-15,27
164,92,starter,annual,529.2,44.1,active,2025-03-22,,23
165,143,growth,monthly,199.0,199.0,cancelled,2026-03-19,2026-09-14,36
166,42,scale,monthly,499.0,499.0,active,2025-06-16,,38
167,469,scale,annual,5389.2,449.1,active,2025-03-07,,23
168,275,starter,monthly,49.0,49.0,active,2025-06-03,,12
169,408,growth,monthly,199.0,199.0,active,2026-07-19,,42
170,6,scale,monthly,499.0,499.0,cancelled,2026-01-05,2026-09-15,34
171,95,enterprise,monthly,1500.0,1500.0,active,2025-10-06,,20
172,75,starter,monthly,49.0,49.0,active,2025-06-06,,11
173,36,starter,annual,529.2,44.1,active,2025-11-20,,20
174,359,starter,annual,529.2,44.1,cancelled,2025-11-10,2026-11-29,42
175,84,growth,monthly,199.0,199.0,active,2025-09-05,,17
176,451,scale,monthly,499.0,499.0,cancelled,2025-09-26,2025-11-29,44
177,374,starter,monthly,49.0,49.0,active,2026-03-16,,13
178,143,growth,annual,2149.2,179.1,active,2025-12-22,,10
179,135,starter,monthly,49.0,49.0,cancelled,2025-01-18,2025-08-13,4
180,192,starter,annual,529.2,44.1,active,2025-08-02,,8
181,270,growth,monthly,199.0,199.0,active,2025-02-07,,13
182,341,growth,monthly,199.0,199.0,active,2026-07-16,,36
183,225,starter,monthly,49.0,49.0,active,2025-07-15,,26
184,403,starter,monthly,49.0,49.0,active,2026-08-09,,32
185,385,starter,annual,529.2,44.1,cancelled,2025-06-01,2025-12-14,5
186,131,enterprise,monthly,1500.0,1500.0,active,2025-08-01,,31
187,199,scale,monthly,499.0,499.0,cancelled,2025-09-07,2026-01-27,32
188,414,growth,monthly,199.0,199.0,active,2026-07-09,,25
189,363,enterprise,monthly,1500.0,1500.0,cancelled,2025-02-24,2026-01-31,32
190,487,growth,monthly,199.0,199.0,cancelled,2026-04-27,2026-12-15,7
191,49,starter,monthly,49.0,49.0,trialing,2026-02-03,,25
192,44,growth,annual,2149.2,179.1,cancelled,2025-05-18,2025-07-20,36
193,253,scale,monthly,499.0,499.0,cancelled,2026-05-27,2027-03-10,7
194,113,growth,annual,2149.2,179.1,trialing,2025-12-08,,8
195,371,enterprise,annual,16200.0,1350.0,cancelled,2025-11-02,2026-12-02,37
196,364,growth,monthly,199.0,199.0,cancelled,2025-08-18,2025-11-25,27
197,223,enterprise,annual,16200.0,1350.0,active,2025-09-11,,11
198,19,scale,annual,5389.2,449.1,cancelled,2026-05-02,2026-11-27,17
199,176,scale,annual,5389.2,449.1,active,2026-08-12,,44
200,143,enterprise,monthly,1500.0,1500.0,trialing,2026-06-27,,17
201,198,starter,annual,529.2,44.1,cancelled,2025-07-23,2025-11-18,18
202,423,growth,monthly,199.0,199.0,active,2026-01-13,,41
203,370,starter,monthly,49.0,49.0,active,2026-08-30,,10
204,341,scale,annual,5389.2,449.1,active,2026-01-18,,23
205,8,growth,annual,2149.2,179.1,active,2025-01-02,,16
206,321,starter,monthly,49.0,49.0,cancelled,2026-03-14,2026-04-17,25
207,261,growth,monthly,199.0,199.0,active,2025-12-13,,13
208,306,starter,annual,529.2,44.1,active,2025-10-28,,44
209,204,growth,monthly,199.0,199.0,active,2025-01-23,,7
210,251,starter,monthly,49.0,49.0,cancelled,2025-10-13,2026-04-20,28
211,168,enterprise,monthly,1500.0,1500.0,active,2026-04-25,,32
212,384,growth,monthly,199.0,199.0,active,2025-12-08,,40
213,201,enterprise,monthly,1500.0,1500.0,active,2025-06-13,,5
214,433,starter,annual,529.2,44.1,active,2026-05-12,,43
215,463,starter,monthly,49.0,49.0,cancelled,2025-09-30,2026-03-04,13
216,398,enterprise,monthly,1500.0,1500.0,cancelled,2026-01-28,2027-01-26,35
217,263,growth,monthly,199.0,199.0,active,2025-01-09,,3
218,242,starter,annual,529.2,44.1,cancelled,2025-03-29,2025-10-30,8
219,261,scale,monthly,499.0,499.0,cancelled,2025-05-02,2026-01-20,27
220,390,starter,monthly,49.0,49.0,active,2025-03-27,,6
221,432,starter,annual,529.2,44.1,active,2025-09-16,,22
222,378,scale,annual,5389.2,449.1,active,2025-09-10,,22
223,359,scale,monthly,499.0,499.0,active,2025-02-18,,24
224,228,growth,annual,2149.2,179.1,active,2026-02-05,,4
225,128,starter,monthly,49.0,49.0,trialing,2025-10-21,,36
226,168,starter,monthly,49.0,49.0,active,2025-08-26,,15
227,499,starter,annual,529.2,44.1,trialing,2025-05-28,,36
228,206,growth,monthly,199.0,199.0,active,2025-08-20,,11
229,242,starter,monthly,49.0,49.0,active,2025-04-10,,11
230,247,growth,annual,2149.2,179.1,cancelled,2026-06-28,2027-07-17,2
231,176,scale,monthly,499.0,499.0,cancelled,2025-11-09,2026-06-23,42
232,74,enterprise,annual,16200.0,1350.0,trialing,2026-06-12,,20
233,110,scale,monthly,499.0,499.0,active,2026-06-04,,7
234,110,starter,monthly,49.0,49.0,active,2025-10-16,,13
235,100,growth,monthly,199.0,199.0,active,2025-08-30,,7
236,51,enterprise,monthly,1500.0,1500.0,active,2026-03-12,,5
237,468,starter,annual,529.2,44.1,active,2025-08-22,,4
238,37,starter,annual,529.2,44.1,cancelled,2025-10-02,2026-07-19,36
239,59,starter,monthly,49.0,49.0,active,2025-09-06,,29
240,284,growth,monthly,199.0,199.0,cancelled,2026-01-02,2026-08-14,45
241,460,enterprise,monthly,1500.0,1500.0,cancelled,2025-02-02,2025-10-04,48
242,350,growth,annual,2149.2,179.1,active,2025-06-16,,31
243,66,growth,monthly,199.0,199.0,active,2026-02-18,,27
244,307,growth,monthly,199.0,199.0,cancelled,2025-10-30,2026-02-14,46
245,297,scale,monthly,499.0,499.0,active,2026-02-25,,47
246,364,starter,monthly,49.0,49.0,active,2026-01-26,,9
247,146,growth,monthly,199.0,199.0,active,2025-07-21,,30
248,204,enterprise,monthly,1500.0,1500.0,active,2025-09-26,,38
249,484,enterprise,annual,16200.0,1350.0,active,2025-02-11,,43
250,400,starter,monthly,49.0,49.0,active,2026-04-06,,21
251,129,starter,monthly,49.0,49.0,active,2025-09-27,,32
252,374,enterprise,monthly,1500.0,1500.0,cancelled,2025-06-12,2026-07-04,24
253,430,enterprise,monthly,1500.0,1500.0,active,2025-11-21,,31
254,356,starter,monthly,49.0,49.0,active,2025-01-08,,33
255,314,starter,annual,529.2,44.1,active,2025-09-10,,29
256,384,starter,monthly,49.0,49.0,active,2026-07-09,,39
257,270,growth,annual,2149.2,179.1,active,2025-08-21,,4
258,116,starter,monthly,49.0,49.0,active,2025-08-08,,3
259,244,starter,annual,529.2,44.1,cancelled,2025-10-01,2026-02-21,41
260,285,scale,monthly,499.0,499.0,active,2025-06-03,,20
261,381,starter,monthly,49.0,49.0,cancelled,2025-05-14,2025-09-30,19
262,388,enterprise,annual,16200.0,1350.0,active,2025-10-16,,38
263,66,growth,monthly,199.0,199.0,active,2026-02-06,,27
264,50,growth,monthly,199.0,199.0,past_due,2025-06-01,,27
265,80,enterprise,annual,16200.0,1350.0,cancelled,2025-05-09,2025-10-11,46
266,124,starter,monthly,49.0,49.0,active,2026-03-22,,17
267,139,starter,monthly,49.0,49.0,active,2025-10-31,,13
268,246,growth,annual,2149.2,179.1,active,2025-07-06,,2
269,358,growth,monthly,199.0,199.0,cancelled,2026-05-30,2026-11-16,47
270,208,growth,annual,2149.2,179.1,active,2026-08-25,,1
271,226,enterprise,annual,16200.0,1350.0,active,2026-05-30,,21
272,458,enterprise,annual,16200.0,1350.0,active,2025-06-17,,21
273,377,starter,monthly,49.0,49.0,cancelled,2026-08-16,2027-01-23,46
274,376,starter,monthly,49.0,49.0,active,2025-08-08,,24
275,376,growth,annual,2149.2,179.1,active,2025-02-17,,1
276,21,enterprise,annual,16200.0,1350.0,past_due,2025-11-23,,12
277,367,starter,annual,529.2,44.1,past_due,2026-08-04,,26
278,233,starter,annual,529.2,44.1,cancelled,2025-01-03,2025-11-13,40
279,316,starter,monthly,49.0,49.0,active,2025-01-05,,3
280,382,enterprise,monthly,1500.0,1500.0,active,2025-01-03,,36
281,26,starter,monthly,49.0,49.0,active,2026-05-26,,9
282,335,growth,monthly,199.0,199.0,cancelled,2025-05-22,2026-03-15,10
283,442,starter,monthly,49.0,49.0,active,2025-10-28,,7
284,269,growth,monthly,199.0,199.0,active,2025-02-19,,10
285,329,starter,monthly,49.0,49.0,past_due,2026-07-28,,31
286,43,growth,monthly,199.0,199.0,active,2026-04-07,,43
287,378,starter,monthly,49.0,49.0,trialing,2025-12-12,,4
288,458,starter,monthly,49.0,49.0,active,2026-06-14,,46
289,177,starter,monthly,49.0,49.0,active,2025-05-04,,11
290,208,scale,monthly,499.0,499.0,active,2025-09-08,,49
291,259,scale,monthly,499.0,499.0,active,2026-08-12,,40
292,73,starter,monthly,49.0,49.0,trialing,2025-11-10,,34
293,46,starter,monthly,49.0,49.0,cancelled,2025-07-04,2026-03-10,25
294,43,growth,annual,2149.2,179.1,active,2026-01-07,,46
295,80,starter,monthly,49.0,49.0,active,2026-07-22,,24
296,393,scale,monthly,499.0,499.0,active,2025-02-27,,8
297,315,starter,annual,529.2,44.1,cancelled,2026-08-27,2027-01-14,17
298,307,growth,monthly,199.0,199.0,active,2025-10-13,,8
299,38,growth,monthly,199.0,199.0,active,2025-02-24,,13
300,126,enterprise,annual,16200.0,1350.0,active,2026-08-06,,3
301,468,scale,monthly,499.0,499.0,active,2025-12-13,,24
302,267,starter,annual,529.2,44.1,active,2025-05-07,,27
303,41,starter,monthly,49.0,49.0,trialing,2025-04-22,,25
304,474,growth,annual,2149.2,179.1,cancelled,2025-02-21,2025-06-12,11
305,283,starter,annual,529.2,44.1,trialing,2025-11-18,,14
306,247,starter,annual,529.2,44.1,active,2025-06-20,,28
307,299,enterprise,monthly,1500.0,1500.0,active,2025-07-12,,16
308,196,starter,monthly,49.0,49.0,trialing,2025-11-29,,1
309,343,scale,monthly,499.0,499.0,active,2026-08-05,,36
310,154,starter,monthly,49.0,49.0,trialing,2026-06-12,,26
311,178,starter,annual,529.2,44.1,active,2025-03-05,,10
312,92,starter,monthly,49.0,49.0,cancelled,2025-08-04,2026-05-13,44
313,98,starter,monthly,49.0,49.0,cancelled,2025-05-15,2026-03-18,13
314,456,starter,monthly,49.0,49.0,cancelled,2025-07-29,2026-01-23,36
315,101,enterprise,monthly,1500.0,1500.0,cancelled,2026-07-02,2026-11-07,3
316,86,growth,monthly,199.0,199.0,active,2025-07-28,,18
317,238,starter,monthly,49.0,49.0,active,2026-01-28,,13
318,28,starter,monthly,49.0,49.0,active,2026-05-26,,4
319,206,enterprise,monthly,1500.0,1500.0,trialing,2025-06-15,,22
320,72,starter,annual,529.2,44.1,active,2025-10-12,,13
321,129,starter,monthly,49.0,49.0,active,2026-05-09,,13
322,92,scale,monthly,499.0,499.0,active,2025-07-21,,25
323,434,growth,monthly,199.0,199.0,cancelled,2026-02-10,2026-08-27,43
324,213,starter,monthly,49.0,49.0,past_due,2025-04-18,,13
325,1,growth,monthly,199.0,199.0,trialing,2026-07-12,,8
326,455,starter,annual,529.2,44.1,active,2025-03-18,,39
327,500,growth,monthly,199.0,199.0,cancelled,2026-02-23,2026-10-17,21
328,68,starter,monthly,49.0,49.0,active,2026-08-15,,46
329,50,scale,monthly,499.0,499.0,cancelled,2025-03-28,2025-05-18,35
330,74,growth,monthly,199.0,199.0,cancelled,2025-10-23,2026-10-04,9
331,136,starter,annual,529.2,44.1,active,2026-07-31,,38
332,219,growth,monthly,199.0,199.0,active,2025-02-13,,1
333,397,starter,monthly,49.0,49.0,active,2025-07-06,,23
334,452,enterprise,monthly,1500.0,1500.0,active,2026-07-05,,5
335,430,starter,monthly,49.0,49.0,active,2025-03-23,,38
336,464,starter,monthly,49.0,49.0,active,2026-08-03,,40
337,28,scale,monthly,499.0,499.0,active,2026-03-29,,47
338,476,starter,annual,529.2,44.1,active,2025-05-24,,3
339,328,starter,annual,529.2,44.1,active,2025-05-06,,42
340,64,scale,monthly,499.0,499.0,active,2025-07-11,,37
341,497,scale,annual,5389.2,449.1,trialing,2025-11-18,,42
342,353,starter,monthly,49.0,49.0,active,2026-08-07,,20
343,377,growth,monthly,199.0,199.0,cancelled,2026-04-27,2027-02-16,32
344,324,growth,monthly,199.0,199.0,trialing,2025-01-10,,21
345,392,scale,monthly,499.0,499.0,active,2025-12-24,,34
346,16,growth,monthly,199.0,199.0,cancelled,2025-07-16,2025-11-24,36
347,279,growth,annual,2149.2,179.1,trialing,2025-11-18,,15
348,337,scale,monthly,499.0,499.0,cancelled,2025-09-19,2026-08-23,16
349,432,starter,monthly,49.0,49.0,active,2025-12-24,,49
350,349,growth,monthly,199.0,199.0,active,2026-04-13,,40
351,125,growth,monthly,199.0,199.0,active,2025-05-25,,3
352,329,growth,monthly,199.0,199.0,cancelled,2025-08-12,2026-06-19,5
353,124,growth,annual,2149.2,179.1,cancelled,2025-01-29,2025-09-03,39
354,108,starter,monthly,49.0,49.0,active,2025-07-25,,36
355,309,growth,monthly,199.0,199.0,active,2026-08-24,,11
356,167,growth,monthly,199.0,199.0,active,2026-03-19,,45
357,167,scale,monthly,499.0,499.0,cancelled,2026-02-15,2027-01-29,1
358,277,starter,monthly,49.0,49.0,active,2026-05-31,,9
359,98,scale,monthly,499.0,499.0,active,2025-12-12,,28
360,70,starter,annual,529.2,44.1,active,2025-02-26,,28
361,219,scale,annual,5389.2,449.1,active,2026-02-04,,11
362,80,growth,monthly,199.0,199.0,cancelled,2025-03-28,2025-07-11,32
363,368,growth,monthly,199.0,199.0,active,2025-04-29,,42
364,350,enterprise,monthly,1500.0,1500.0,active,2026-02-05,,7
365,472,growth,annual,2149.2,179.1,cancelled,2026-07-15,2026-12-09,39
366,83,starter,monthly,49.0,49.0,active,2025-07-10,,27
367,374,growth,monthly,199.0,199.0,active,2025-07-02,,45
368,9,growth,annual,2149.2,179.1,trialing,2026-02-10,,13
369,310,scale,monthly,499.0,499.0,cancelled,2025-07-09,2026-08-11,34
370,93,starter,annual,529.2,44.1,active,2025-04-16,,37
371,362,starter,monthly,49.0,49.0,cancelled,2025-05-20,2025-08-30,18
372,38,starter,monthly,49.0,49.0,active,2026-05-04,,28
373,21,growth,monthly,199.0,199.0,active,2026-01-08,,36
374,142,growth,annual,2149.2,179.1,cancelled,2025-07-15,2026-06-25,21
375,176,scale,monthly,499.0,499.0,active,2026-08-28,,33
376,381,starter,monthly,49.0,49.0,active,2025-07-23,,37
377,96,growth,monthly,199.0,199.0,active,2026-02-21,,12
378,394,enterprise,monthly,1500.0,1500.0,active,2025-04-19,,36
379,248,starter,annual,529.2,44.1,active,2026-07-25,,30
380,36,growth,monthly,199.0,199.0,trialing,2025-05-09,,11
381,477,enterprise,monthly,1500.0,1500.0,active,2025-09-19,,42
382,286,starter,annual,529.2,44.1,cancelled,2025-12-30,2026-12-15,2
383,426,growth,monthly,199.0,199.0,active,2025-11-13,,30
384,45,starter,monthly,49.0,49.0,active,2025-12-20,,13
385,226,starter,monthly,49.0,49.0,cancelled,2026-04-15,2026-10-02,35
386,94,scale,annual,5389.2,449.1,active,2026-05-16,,44
387,258,starter,monthly,49.0,49.0,trialing,2025-07-25,,33
388,393,scale,monthly,499.0,499.0,cancelled,2026-01-18,2026-08-08,20
389,425,growth,annual,2149.2,179.1,past_due,2025-12-12,,32
390,487,starter,annual,529.2,44.1,active,2025-09-17,,10
391,132,starter,monthly,49.0,49.0,active,2025-11-04,,5
392,136,scale,monthly,499.0,499.0,active,2026-05-03,,19
393,384,starter,annual,529.2,44.1,trialing,2026-02-17,,31
394,389,starter,annual,529.2,44.1,active,2025-01-11,,19
395,165,starter,monthly,49.0,49.0,cancelled,2025-02-08,2026-02-19,6
396,172,growth,monthly,199.0,199.0,active,2026-03-02,,23
397,98,starter,monthly,49.0,49.0,past_due,2025-11-19,,43
398,393,enterprise,annual,16200.0,1350.0,trialing,2025-11-26,,23
399,56,starter,monthly,49.0,49.0,cancelled,2026-05-29,2026-10-21,23
400,286,starter,annual,529.2,44.1,active,2025-05-15,,15
401,193,growth,monthly,199.0,199.0,cancelled,2025-06-04,2025-11-18,24
402,274,starter,annual,529.2,44.1,active,2026-01-22,,15
403,462,scale,monthly,499.0,499.0,cancelled,2026-04-20,2026-05-23,47
404,405,enterprise,monthly,1500.0,1500.0,active,2026-08-22,,40
405,453,growth,monthly,199.0,199.0,cancelled,2026-07-19,2026-12-28,35
406,349,scale,annual,5389.2,449.1,active,2025-07-30,,33
407,215,scale,monthly,499.0,499.0,cancelled,2025-04-18,2025-07-28,16
408,486,starter,monthly,49.0,49.0,active,2026-01-23,,34
409,281,starter,annual,529.2,44.1,active,2025-04-24,,48
410,182,growth,monthly,199.0,199.0,active,2025-09-24,,10
411,429,enterprise,annual,16200.0,1350.0,active,2025-07-03,,43
412,478,scale,monthly,499.0,499.0,trialing,2025-08-27,,49
