payment_id,order_id,customer_id,amount,fee_amount,status,paid_at,method
78,82,117,160.09,4.94,captured,2025-04-19 16:00:00,wire
79,83,112,297.06,8.91,captured,2025-08-05 08:00:00,paypal
80,84,144,111.01,3.52,captured,2025-11-22 07:00:00,card
81,85,367,136.74,4.27,captured,2025-02-15 23:00:00,wire
82,86,12,264.28,7.96,captured,2025-07-01 11:00:00,ach
83,86,12,264.28,7.96,captured,2025-07-01 17:00:00,wire
84,87,474,166.31,5.12,captured,2025-05-13 09:00:00,ach
85,88,485,54.94,1.89,captured,2025-01-04 02:00:00,wire
86,89,484,109.84,3.49,captured,2026-02-10 22:00:00,paypal
87,90,418,47.2,1.67,refunded,2026-03-18 06:00:00,paypal
88,91,162,286.67,8.61,captured,2025-02-21 08:00:00,card
89,92,203,91.2,2.94,captured,2025-03-23 04:00:00,card
90,93,64,80.35,2.63,captured,2025-02-13 07:00:00,ach
91,94,447,530.96,15.7,captured,2026-07-27 10:00:00,ach
92,95,386,75.75,2.5,captured,2025-12-14 22:00:00,card
93,96,77,55.07,1.9,captured,2025-11-28 04:00:00,ach
94,97,496,73.65,2.44,refunded,2025-02-24 04:00:00,wire
95,99,384,267.48,8.06,captured,2026-07-18 23:00:00,paypal
96,100,68,119.36,3.76,captured,2026-07-28 15:00:00,card
97,101,375,111.42,3.53,captured,2025-11-29 22:00:00,paypal
98,102,442,249.39,7.53,captured,2025-03-24 07:00:00,card
99,103,476,218.32,6.63,captured,2025-01-21 14:00:00,paypal
100,104,81,166.35,5.12,captured,2026-05-23 09:00:00,card
101,105,83,274.67,8.27,captured,2025-11-19 06:00:00,ach
102,106,35,59.33,2.02,captured,2025-07-20 04:00:00,card
103,107,412,96.86,3.11,captured,2025-01-09 04:00:00,paypal
104,108,93,280.54,8.44,captured,2025-12-14 14:00:00,wire
105,109,196,198.79,6.06,captured,2026-06-17 16:00:00,paypal
106,110,208,167.37,5.15,captured,2026-05-25 08:00:00,wire
107,111,176,629.68,18.56,captured,2026-03-21 05:00:00,card
108,112,249,310.97,9.32,refunded,2025-02-02 20:00:00,paypal
109,115,194,247.19,7.47,refunded,2026-05-28 06:00:00,card
110,116,403,384.54,11.45,captured,2025-04-02 16:00:00,ach
111,117,59,46.34,1.64,captured,2026-06-11 06:00:00,wire
112,118,480,193.78,5.92,captured,2026-03-11 22:00:00,paypal
113,119,205,146.65,4.55,captured,2026-04-13 02:00:00,ach
114,120,146,208.0,6.33,captured,2025-04-10 07:00:00,paypal
115,121,223,54.93,1.89,captured,2026-06-07 04:00:00,paypal
116,123,405,426.37,12.66,captured,2025-05-18 12:00:00,card
117,124,409,297.31,8.92,captured,2025-04-08 00:00:00,paypal
118,126,444,111.34,3.53,captured,2026-01-16 23:00:00,card
119,127,354,107.0,3.4,captured,2026-07-17 01:00:00,wire
120,127,354,107.0,3.4,captured,2026-07-17 10:00:00,wire
121,128,30,304.94,9.14,captured,2026-08-24 02:00:00,card
122,129,214,219.39,6.66,refunded,2025-03-07 03:00:00,ach
123,130,418,163.08,5.03,refunded,2026-08-14 17:00:00,wire
124,131,267,69.66,2.32,captured,2025-03-09 22:00:00,card
125,131,267,69.66,2.32,captured,2025-03-10 07:00:00,ach
126,132,293,448.74,13.31,captured,2026-03-31 10:00:00,card
127,133,188,191.82,5.86,refunded,2025-04-24 18:00:00,card
128,134,20,382.76,11.4,captured,2026-05-17 12:00:00,paypal
129,135,443,166.05,5.12,captured,2025-08-03 15:00:00,wire
130,136,377,374.08,11.15,captured,2026-06-17 02:00:00,paypal
131,137,136,147.19,4.57,captured,2025-11-27 07:00:00,card
132,138,121,280.24,8.43,captured,2025-11-17 16:00:00,card
133,140,399,217.53,6.61,captured,2025-05-21 00:00:00,ach
134,141,44,95.91,3.08,captured,2025-11-12 10:00:00,card
135,142,313,146.94,4.56,captured,2026-02-08 23:00:00,paypal
136,143,424,139.67,4.35,captured,2025-03-30 13:00:00,card
137,144,247,162.29,5.01,captured,2025-03-28 00:00:00,card
138,145,27,276.08,8.31,captured,2025-09-19 15:00:00,card
139,146,12,130.95,4.1,captured,2026-05-23 07:00:00,paypal
140,147,82,205.79,6.27,captured,2025-08-04 15:00:00,wire
141,148,445,348.34,10.4,captured,2025-09-09 07:00:00,wire
142,149,229,225.89,6.85,captured,2026-08-08 23:00:00,ach
143,150,74,39.17,1.44,refunded,2025-06-11 13:00:00,wire
144,152,415,231.81,7.02,captured,2026-05-30 01:00:00,card
145,154,345,44.44,1.59,captured,2025-03-11 10:00:00,paypal
146,156,35,212.46,6.46,captured,2026-08-18 07:00:00,paypal
147,157,32,143.1,4.45,captured,2026-05-09 01:00:00,wire
148,158,272,200.8,6.12,captured,2026-08-02 04:00:00,paypal
149,159,422,143.14,4.45,captured,2025-10-21 18:00:00,wire
150,160,481,111.81,3.54,captured,2026-01-07 16:00:00,paypal
151,161,353,83.86,2.73,captured,2025-03-27 12:00:00,wire
152,161,353,83.85,2.73,captured,2025-03-27 08:00:00,wire
153,162,462,49.5,1.74,captured,2026-03-10 07:00:00,card
154,163,118,95.77,3.08,captured,2025-12-12 09:00:00,card
155,165,56,51.87,1.8,captured,2026-05-31 03:00:00,paypal
156,166,87,195.2,5.96,captured,2025-09-24 08:00:00,wire
157,167,377,116.93,3.69,captured,2026-08-28 06:00:00,wire
158,168,77,123.17,3.87,captured,2026-06-23 16:00:00,wire
159,169,217,153.5,4.75,captured,2025-09-14 14:00:00,wire
160,169,217,153.51,4.75,captured,2025-09-14 18:00:00,wire
161,170,379,381.08,11.35,captured,2025-01-08 17:00:00,wire
162,171,464,75.21,2.48,captured,2025-03-31 12:00:00,paypal
163,172,81,160.07,4.94,captured,2025-06-26 03:00:00,wire
164,173,94,38.98,1.43,captured,2025-07-02 12:00:00,paypal
165,174,33,315.21,9.44,captured,2025-08-05 02:00:00,card
166,175,57,156.62,4.84,refunded,2026-08-04 05:00:00,ach
167,176,196,52.78,1.83,refunded,2026-02-16 06:00:00,paypal
168,177,158,108.48,3.45,captured,2025-04-26 14:00:00,card
169,178,484,40.26,1.47,captured,2026-03-05 10:00:00,card
170,178,484,40.26,1.47,captured,2026-03-04 20:00:00,card
171,180,155,43.04,1.55,captured,2025-02-11 00:00:00,card
172,181,235,414.83,12.33,captured,2026-01-30 04:00:00,ach
173,182,363,88.04,2.85,captured,2025-05-15 13:00:00,paypal
174,183,169,185.87,5.69,captured,2025-09-23 15:00:00,ach
175,184,72,249.95,7.55,refunded,2026-05-18 01:00:00,wire
176,185,211,372.65,11.11,refunded,2025-08-27 06:00:00,paypal
177,186,311,169.28,5.21,captured,2025-04-29 02:00:00,card
178,187,159,119.14,3.76,captured,2026-08-31 03:00:00,paypal
179,188,291,203.4,6.2,refunded,2025-06-26 14:00:00,wire
180,189,163,83.94,2.73,captured,2026-02-04 16:00:00,ach
181,190,453,81.5,2.66,captured,2025-04-09 16:00:00,wire
182,191,444,116.62,3.68,captured,2025-04-11 00:00:00,wire
183,193,419,103.33,3.3,captured,2026-06-30 02:00:00,paypal
184,194,61,133.19,4.16,captured,2025-01-19 05:00:00,card
185,195,327,586.69,17.31,captured,2026-08-16 18:00:00,wire
186,196,203,366.65,10.93,captured,2025-07-04 18:00:00,ach
187,197,389,221.87,6.73,captured,2026-08-24 08:00:00,wire
188,198,1,329.41,9.85,refunded,2025-11-22 11:00:00,wire
189,200,121,151.92,4.71,captured,2025-01-06 09:00:00,paypal
190,201,279,250.21,7.56,captured,2025-04-07 03:00:00,ach
191,203,449,53.55,1.85,captured,2025-04-12 19:00:00,card
192,204,228,203.53,6.2,captured,2026-06-13 10:00:00,card
193,205,1,64.73,2.18,captured,2025-03-14 05:00:00,paypal
194,206,434,268.8,8.1,captured,2026-01-28 06:00:00,paypal
195,207,287,368.52,10.99,captured,2025-08-14 23:00:00,ach
196,208,12,82.41,2.69,captured,2025-09-25 22:00:00,ach
197,209,323,49.74,1.74,captured,2026-03-08 17:00:00,wire
198,209,323,49.74,1.74,captured,2026-03-08 17:00:00,wire
199,210,441,364.2,10.86,captured,2025-04-06 10:00:00,ach
200,211,436,161.53,4.98,captured,2025-07-29 19:00:00,ach
201,212,445,331.36,9.91,captured,2025-12-06 01:00:00,card
202,213,488,151.53,4.69,captured,2025-08-07 22:00:00,paypal
203,214,327,171.98,5.29,captured,2025-05-26 21:00:00,card
204,217,317,318.09,9.52,captured,2025-02-10 05:00:00,ach
205,218,439,106.74,3.4,captured,2025-04-02 02:00:00,wire
206,220,450,120.14,3.78,captured,2026-03-12 11:00:00,card
207,222,101,221.39,6.72,captured,2025-07-17 08:00:00,card
208,223,430,186.84,5.72,captured,2025-02-16 13:00:00,paypal
209,224,471,75.84,2.5,captured,2025-11-04 02:00:00,paypal
210,225,264,190.21,5.82,captured,2025-04-21 01:00:00,paypal
211,226,441,126.61,3.97,refunded,2025-04-11 22:00:00,ach
212,227,342,240.94,7.29,captured,2025-07-15 09:00:00,wire
213,228,103,122.15,3.84,captured,2025-06-06 08:00:00,ach
214,229,254,164.59,5.07,captured,2025-02-02 12:00:00,ach
215,232,169,454.83,13.49,captured,2025-10-08 13:00:00,ach
216,233,88,92.31,2.98,captured,2025-09-28 10:00:00,card
217,233,88,92.31,2.98,captured,2025-09-28 01:00:00,paypal
218,234,250,480.86,14.24,captured,2026-08-31 20:00:00,ach
219,235,248,181.9,5.58,captured,2025-06-16 18:00:00,card
220,236,445,295.62,8.87,refunded,2025-07-23 11:00:00,card
221,237,5,123.02,3.87,captured,2025-11-10 05:00:00,wire
222,239,106,178.31,5.47,captured,2026-08-25 13:00:00,card
223,242,276,35.94,1.34,captured,2025-07-16 07:00:00,card
224,244,268,302.07,9.06,captured,2026-06-19 19:00:00,wire
225,245,73,115.4,3.65,captured,2025-12-20 11:00:00,card
226,246,226,617.26,18.2,captured,2025-05-09 08:00:00,paypal
227,247,461,633.2,18.66,captured,2026-02-21 16:00:00,wire
228,248,358,49.34,1.73,captured,2026-06-06 12:00:00,paypal
229,249,109,108.98,3.46,captured,2026-03-01 11:00:00,paypal
230,250,323,139.64,4.35,captured,2026-02-08 17:00:00,wire
231,251,367,223.69,6.79,captured,2025-10-12 00:00:00,ach
232,252,138,219.2,6.66,captured,2025-04-26 00:00:00,card
233,253,264,182.69,5.6,captured,2026-03-14 13:00:00,card
234,255,91,252.78,7.63,captured,2025-05-23 05:00:00,ach
235,256,445,240.53,7.28,captured,2025-10-27 06:00:00,paypal
236,258,163,70.75,2.35,captured,2025-11-16 02:00:00,card
237,259,51,151.49,4.69,captured,2025-12-01 11:00:00,ach
238,260,223,52.42,1.82,captured,2025-09-02 00:00:00,ach
239,260,223,52.42,1.82,captured,2025-09-01 23:00:00,card
240,262,487,166.23,5.12,captured,2025-12-22 17:00:00,paypal
241,263,388,90.97,2.94,refunded,2025-08-12 09:00:00,ach
242,264,429,57.24,1.96,captured,2026-03-14 05:00:00,paypal
243,265,494,304.5,9.13,captured,2025-03-14 02:00:00,ach
244,266,350,111.34,3.53,captured,2025-11-07 04:00:00,ach
245,267,429,89.94,2.91,refunded,2025-03-27 19:00:00,ach
246,270,315,37.59,1.39,captured,2026-06-07 22:00:00,ach
247,271,226,247.12,7.47,captured,2025-01-22 11:00:00,wire
248,273,361,124.99,3.92,captured,2026-02-12 03:00:00,paypal
249,274,206,144.86,4.5,captured,2025-09-10 16:00:00,wire
250,275,422,43.32,1.56,captured,2025-05-13 19:00:00,ach
251,276,19,612.91,18.07,captured,2025-06-02 12:00:00,card
252,277,163,128.3,4.02,captured,2026-05-27 17:00:00,ach
253,278,184,182.38,5.59,refunded,2025-03-22 11:00:00,ach
254,279,416,161.86,4.99,captured,2026-03-10 23:00:00,ach
255,280,255,111.71,3.54,refunded,2025-06-29 19:00:00,ach
256,281,467,266.96,8.04,captured,2025-01-09 04:00:00,wire
257,283,230,127.65,4.0,captured,2025-03-02 09:00:00,ach
258,284,364,228.95,6.94,captured,2026-04-09 06:00:00,card
259,285,124,178.35,5.47,captured,2026-04-14 07:00:00,paypal
260,286,54,493.34,14.61,captured,2025-05-14 16:00:00,paypal
261,287,246,156.5,4.84,captured,2026-04-15 09:00:00,paypal
262,287,246,156.5,4.84,captured,2026-04-15 02:00:00,wire
263,288,151,257.76,7.78,captured,2026-03-05 01:00:00,wire
264,289,366,57.66,1.97,captured,2026-02-16 17:00:00,card
265,290,261,264.73,7.98,captured,2025-02-18 02:00:00,paypal
266,291,68,256.9,7.75,captured,2025-03-20 18:00:00,paypal
267,292,226,85.71,2.79,captured,2025-04-09 14:00:00,ach
268,293,201,53.96,1.86,captured,2026-05-13 12:00:00,card
269,294,3,313.12,9.38,captured,2025-07-20 05:00:00,paypal
270,295,273,282.41,8.49,captured,2025-11-19 22:00:00,ach
271,296,468,54.2,1.87,captured,2025-10-13 11:00:00,wire
272,296,468,54.2,1.87,captured,2025-10-13 09:00:00,wire
273,297,449,119.52,3.77,refunded,2026-08-31 00:00:00,ach
274,298,453,194.01,5.93,captured,2025-04-22 09:00:00,card
275,299,447,138.56,4.32,captured,2026-04-20 04:00:00,wire
276,302,215,237.2,7.18,captured,2025-12-11 13:00:00,card
277,303,273,95.62,3.07,captured,2025-06-13 02:00:00,ach
278,304,417,270.06,8.13,captured,2025-09-10 16:00:00,paypal
279,305,187,265.74,8.01,captured,2026-03-20 21:00:00,ach
280,306,355,224.03,6.8,captured,2025-09-12 13:00:00,card
281,307,391,184.66,5.66,captured,2025-02-11 21:00:00,wire
282,308,256,107.16,3.41,captured,2025-07-06 17:00:00,wire
283,310,39,110.66,3.51,captured,2025-08-16 04:00:00,card
284,311,223,358.57,10.7,refunded,2025-10-27 00:00:00,card
285,313,323,170.69,5.25,captured,2025-01-19 04:00:00,card
286,314,120,429.27,12.75,captured,2025-06-17 05:00:00,ach
287,315,439,86.11,2.8,refunded,2026-06-13 23:00:00,ach
288,316,448,266.79,8.04,captured,2025-11-28 15:00:00,paypal
289,317,419,146.65,4.55,captured,2025-08-19 00:00:00,card
290,318,333,313.8,9.4,captured,2025-11-14 15:00:00,card
291,319,58,34.48,1.3,captured,2026-05-10 14:00:00,card
292,320,492,295.92,8.88,captured,2026-07-05 04:00:00,ach
293,322,284,185.74,5.69,captured,2026-05-22 05:00:00,paypal
294,324,43,254.18,7.67,captured,2025-01-07 01:00:00,wire
295,326,239,108.36,3.44,captured,2025-05-22 19:00:00,card
296,326,239,108.37,3.44,captured,2025-05-23 17:00:00,ach
297,327,99,367.96,10.97,captured,2026-04-10 20:00:00,card
298,330,451,211.83,6.44,captured,2025-07-13 16:00:00,paypal
299,331,47,205.03,6.25,refunded,2026-06-05 23:00:00,paypal
300,332,140,173.98,5.35,captured,2025-10-19 04:00:00,card
301,333,197,78.28,2.57,captured,2026-04-14 05:00:00,card
302,334,99,261.3,7.88,captured,2026-02-15 04:00:00,paypal
303,335,34,64.47,2.17,captured,2025-07-17 04:00:00,paypal
304,335,34,64.47,2.17,captured,2025-07-16 23:00:00,paypal
305,336,256,163.61,5.04,captured,2025-11-28 14:00:00,ach
306,337,222,265.13,7.99,captured,2025-05-03 03:00:00,ach
307,339,149,170.52,5.25,captured,2026-02-25 16:00:00,card
308,340,256,101.82,3.25,captured,2025-05-06 14:00:00,wire
309,340,256,101.82,3.25,refunded,2025-05-06 21:00:00,card
310,341,157,143.09,4.45,captured,2025-11-14 04:00:00,wire
311,342,20,605.03,17.85,captured,2025-03-02 21:00:00,ach
312,343,364,277.02,8.33,captured,2026-02-04 15:00:00,card
313,343,364,277.02,8.33,refunded,2026-02-04 13:00:00,card
314,344,372,545.17,16.11,captured,2025-04-15 05:00:00,ach
315,345,332,180.62,5.54,captured,2025-06-03 11:00:00,ach
316,347,349,324.53,9.71,captured,2026-07-13 11:00:00,wire
317,348,303,152.99,4.74,captured,2026-01-15 02:00:00,paypal
318,349,221,313.0,9.38,captured,2026-02-11 20:00:00,wire
319,350,309,105.16,3.35,captured,2025-09-07 11:00:00,card
320,351,56,229.05,6.94,captured,2026-06-06 09:00:00,wire
321,352,105,392.25,11.68,captured,2025-02-13 05:00:00,paypal
322,353,65,159.44,4.92,captured,2025-09-09 11:00:00,paypal
323,354,224,157.77,4.88,captured,2025-02-21 04:00:00,wire
324,355,448,55.33,1.9,captured,2026-02-28 19:00:00,ach
325,356,4,121.99,3.84,captured,2026-07-31 17:00:00,paypal
326,358,142,250.79,7.57,captured,2025-04-05 09:00:00,wire
327,359,469,231.51,7.01,captured,2026-04-25 06:00:00,paypal
328,361,111,151.39,4.69,refunded,2025-08-02 00:00:00,wire
329,362,143,64.53,2.17,captured,2025-12-17 03:00:00,paypal
330,363,291,224.86,6.82,captured,2025-10-04 16:00:00,wire
331,364,24,44.51,1.59,captured,2025-04-25 19:00:00,wire
332,365,34,78.19,2.57,captured,2025-11-19 04:00:00,ach
333,366,338,245.78,7.43,captured,2025-04-30 21:00:00,wire
334,367,402,127.94,4.01,captured,2026-03-12 12:00:00,card
335,369,86,227.67,6.9,captured,2026-05-08 11:00:00,ach
336,370,432,162.78,5.02,captured,2026-08-21 07:00:00,paypal
337,372,438,167.98,5.17,captured,2026-01-06 02:00:00,card
338,373,148,281.59,8.47,captured,2025-09-26 13:00:00,ach
339,374,249,107.04,3.4,captured,2025-11-19 02:00:00,card
340,375,479,178.1,5.46,captured,2025-11-10 01:00:00,card
341,375,479,178.1,5.46,captured,2025-11-10 04:00:00,ach
342,376,204,49.68,1.74,captured,2026-06-26 23:00:00,wire
343,377,334,39.84,1.46,captured,2025-03-20 17:00:00,wire
344,377,334,39.83,1.46,captured,2025-03-20 01:00:00,ach
345,378,293,76.36,2.51,refunded,2025-12-30 11:00:00,ach
346,379,38,112.31,3.56,captured,2025-12-02 18:00:00,wire
347,381,180,185.32,5.67,captured,2025-09-09 12:00:00,ach
348,382,238,153.9,4.76,captured,2025-10-15 20:00:00,card
349,382,238,153.9,4.76,captured,2025-10-16 04:00:00,paypal
350,383,153,311.87,9.34,captured,2025-01-23 01:00:00,wire
351,384,498,43.18,1.55,captured,2025-10-20 00:00:00,card
352,385,276,412.72,12.27,captured,2025-04-16 10:00:00,wire
353,386,319,123.26,3.87,captured,2025-09-01 21:00:00,paypal
354,387,262,265.24,7.99,captured,2025-06-19 18:00:00,wire
355,387,262,265.23,7.99,captured,2025-06-19 10:00:00,ach
356,388,155,95.95,3.08,captured,2026-04-05 07:00:00,paypal
357,389,294,38.32,1.41,captured,2026-08-08 09:00:00,ach
358,390,397,278.44,8.37,captured,2025-03-08 00:00:00,wire
359,391,48,129.81,4.06,captured,2025-06-07 16:00:00,paypal
360,391,48,129.8,4.06,captured,2025-06-07 17:00:00,ach
361,393,83,88.26,2.86,captured,2025-10-22 03:00:00,paypal
362,394,468,318.63,9.54,captured,2025-08-15 06:00:00,card
363,395,289,235.69,7.14,captured,2025-10-06 06:00:00,ach
364,396,171,127.79,4.01,captured,2025-02-13 02:00:00,paypal
365,397,100,259.56,7.83,refunded,2026-06-15 04:00:00,card
366,399,263,45.66,1.62,captured,2026-07-09 20:00:00,wire
367,399,263,45.65,1.62,captured,2026-07-10 11:00:00,card
368,401,358,243.14,7.35,captured,2026-02-10 08:00:00,ach
369,404,361,578.87,17.09,captured,2026-01-06 16:00:00,wire
370,405,139,88.28,2.86,refunded,2026-03-25 16:00:00,card
371,406,156,158.42,4.89,captured,2026-04-22 05:00:00,ach
372,407,297,165.11,5.09,captured,2025-01-02 19:00:00,wire
373,408,191,288.05,8.65,captured,2025-09-05 08:00:00,card
374,409,466,118.88,3.75,captured,2025-10-24 11:00:00,wire
375,410,49,309.73,9.28,captured,2025-10-19 22:00:00,paypal
376,411,85,126.44,3.97,captured,2025-12-01 22:00:00,wire
377,412,406,66.36,2.22,captured,2026-03-02 16:00:00,wire
378,413,341,194.8,5.95,captured,2025-12-25 22:00:00,paypal
379,414,431,133.06,4.16,captured,2025-05-25 01:00:00,paypal
380,415,12,186.79,5.72,captured,2026-02-10 15:00:00,paypal
381,416,68,228.34,6.92,captured,2025-12-30 06:00:00,ach
382,417,419,45.39,1.62,captured,2025-05-02 08:00:00,wire
383,418,407,144.66,4.5,captured,2026-01-18 09:00:00,paypal
384,419,413,197.45,6.03,captured,2025-11-14 11:00:00,paypal
385,420,449,313.48,9.39,captured,2026-05-04 13:00:00,paypal
386,421,116,298.24,8.95,captured,2025-08-27 01:00:00,ach
387,422,49,106.98,3.4,captured,2026-06-27 13:00:00,ach
388,423,149,162.6,5.02,captured,2025-11-22 07:00:00,card
389,424,499,252.55,7.62,captured,2026-07-28 17:00:00,ach
390,425,259,158.73,4.9,captured,2025-03-06 11:00:00,paypal
391,427,372,91.56,2.96,captured,2025-05-16 12:00:00,card
392,427,372,91.57,2.96,captured,2025-05-16 15:00:00,paypal
393,428,422,235.17,7.12,captured,2026-05-12 03:00:00,wire
394,429,62,90.55,2.93,captured,2025-11-06 00:00:00,wire
395,430,280,133.19,4.16,captured,2026-02-14 13:00:00,wire
396,430,280,133.18,4.16,captured,2026-02-14 15:00:00,paypal
397,431,373,200.21,6.11,captured,2025-01-13 07:00:00,wire
398,432,479,283.23,8.51,captured,2025-08-17 05:00:00,paypal
399,433,304,156.08,4.83,captured,2025-08-03 23:00:00,ach
400,434,170,421.27,12.52,captured,2026-07-16 14:00:00,paypal
401,435,456,217.82,6.62,captured,2025-03-06 11:00:00,card
402,436,181,307.56,9.22,captured,2026-06-08 00:00:00,paypal
403,437,317,134.44,4.2,captured,2025-08-15 02:00:00,wire
404,437,317,134.45,4.2,refunded,2025-08-14 22:00:00,wire
405,438,421,168.47,5.19,captured,2026-04-19 01:00:00,wire
406,439,266,180.06,5.52,captured,2025-06-28 03:00:00,card
407,440,356,122.62,3.86,captured,2025-02-06 08:00:00,card
408,441,421,496.01,14.68,captured,2026-02-19 15:00:00,wire
409,442,301,249.06,7.52,captured,2025-04-19 14:00:00,paypal
410,443,211,97.03,3.11,captured,2025-04-02 07:00:00,ach
411,444,323,431.63,12.82,captured,2026-07-15 07:00:00,wire
412,445,201,179.36,5.5,captured,2025-05-19 19:00:00,card
413,446,342,288.85,8.68,captured,2026-08-21 02:00:00,ach
414,447,41,52.33,1.82,refunded,2025-07-31 22:00:00,wire
415,448,24,315.55,9.45,captured,2025-06-18 08:00:00,card
416,449,238,216.04,6.57,captured,2025-10-06 01:00:00,card
417,451,366,235.82,7.14,captured,2026-07-19 21:00:00,wire
418,452,91,475.19,14.08,captured,2026-01-06 07:00:00,wire
419,453,250,106.4,3.39,captured,2026-03-31 01:00:00,ach
420,455,461,132.73,4.15,captured,2025-05-29 01:00:00,card
421,456,422,193.3,5.91,captured,2025-12-30 22:00:00,ach
