remote_id,remote_brand_id,remote_created,remote_gateway_id,transaction_type,status,errordesc,psp,pp,paymentmethod,country,card_bin,source
15045,1037,1767259488,5,refund,2,,,,,MX,,BR
10105,1012,1767260363,9,refund,4,,LegacyPSP-A,,,MX,BR,CY
18820,1043,1767260905,7,withdrawal,12,,,,bank_transfer,BR,MX,CY
7606,1054,1767261133,11,withdrawal,2,,,,,BR,,CY
18133,1004,1767261211,9,withdrawal,3,Invalid CVV,LegacyPSP-A,,card,MX,CA,CY
10045,1011,1767262178,14,authorization,2,,,PP-Fallback,card,CA,,CY
27030,1076,1767262193,3,api_sale,4,,,,,BR,PL,CY
2522,1062,1767262739,7,api_sale,2,,,,,PL,,CY
11101,1059,1767263602,14,deposit,12,,,,card,US,,CY
28148,1076,1767264642,7,payout,4,,,,,BR,,CY
22965,1042,1767264842,10,authorization,3,Insufficient funds,,PP-Fallback,,BR,,CY
11564,1073,1767265381,9,sale,2,,LegacyPSP-A,,,ES,,CY
9923,1076,1767265500,3,deposit,12,,LegacyPSP-A,PP-Fallback,,BR,,CY
13547,1066,1767266900,14,api_sale,3,Issuer unavailable,,,wallet,GB,,CY
7707,1066,1767267013,14,deposit,12,,LegacyPSP-A,,,GB,MX,CY
6992,1004,1767267074,8,capture,2,,,,,MX,,CY
7522,1018,1767267286,8,withdrawal,2,,LegacyPSP-A,,,DE,,CY
16089,1055,1767268078,4,payout,2,,LegacyPSP-A,PP-Fallback,wallet,ES,ES,CY
6891,1058,1767268756,11,withdrawal,4,,,,,PL,ES,CY
1719,1041,1767268872,14,withdrawal,4,,,,,BR,ES,CY
995,1009,1767269256,4,sale,7,,LegacyPSP-B,,,CA,FR,CY
22172,1005,1767269925,14,sale,4,,,,,CA,,CY
21910,1004,1767272359,10,authorization,4,,,PP-Fallback,,MX,US,CY
11036,1044,1767272932,12,api_sale,3,Do not honor,LegacyPSP-A,,,US,PL,CY
19004,1074,1767273304,13,capture,2,,,,,ES,FR,CY
12624,1052,1767273659,11,sale,2,,,,,CA,CA,CY
3274,1030,1767274571,3,deposit,2,,,,,CA,MX,CY
724,1029,1767275246,6,api_sale,4,,LegacyPSP-B,,,MX,ES,CY
11620,1065,1767275363,9,deposit,3,Suspected fraud,LegacyPSP-B,,,DE,,CY
11496,1012,1767275448,12,payout,3,Insufficient funds,,PP-Fallback,bank_transfer,MX,,CY
13833,1004,1767275631,10,deposit,1,,,,,MX,FR,CY
11803,1053,1767276029,11,sale,2,,,,,NL,FR,CY
25124,1048,1767276719,7,capture,3,Transaction timed out. Old status pending. New status declined.,,,,PL,ES,CY
12886,1030,1767278160,6,withdrawal,3,Transaction timed out. Old status pending. New status declined.,LegacyPSP-A,,card,CA,CA,CY
28616,1073,1767278744,9,payout,12,,,,,ES,ES,BR
5640,1059,1767279171,14,withdrawal,2,,LegacyPSP-A,,wallet,US,,CY
25233,1059,1767279476,12,authorization,3,Issuer unavailable,,,,US,GB,CY
10809,1051,1767279633,4,api_sale,3,Invalid CVV,,,,FR,,CY
7163,1007,1767282169,11,withdrawal,4,,,,,DE,GB,CY
24557,1012,1767282589,9,withdrawal,4,,,,wallet,MX,PL,CY
7600,1041,1767283085,13,withdrawal,3,Suspected fraud,,,,BR,PL,CY
28723,1052,1767283118,11,sale,3,Suspected fraud,,,,CA,GB,CY
20377,1055,1767283914,4,authorization,2,,LegacyPSP-B,,,ES,,CY
11494,1059,1767284808,9,authorization,2,,,,bank_transfer,US,DE,CY
8981,1051,1767285394,4,deposit,3,Suspected fraud,,,,FR,DE,CY
15201,1011,1767286289,14,authorization,3,Suspected fraud,,,card,CA,,CY
25675,1010,1767286857,4,refund,3,Transaction timed out. Old status pending_async. New status declined.,LegacyPSP-B,,card,NL,ES,CY
26333,1044,1767287132,6,payout,2,,LegacyPSP-B,,,US,ES,CY
16623,1049,1767287292,13,authorization,3,Invalid CVV,,,,CA,MX,CY
15577,1009,1767287444,4,sale,12,,,,,CA,,CY
20928,1075,1767288303,6,payout,4,,LegacyPSP-A,,wallet,FR,,CY
10310,1038,1767288454,2,authorization,1,,,,,DE,,CY
9037,1058,1767290244,11,withdrawal,4,,,,,PL,MX,CY
24445,1033,1767292665,6,sale,4,,LegacyPSP-B,PP-Fallback,,BR,FR,CY
22459,1078,1767292715,7,refund,4,,LegacyPSP-B,PP-Fallback,,ES,,CY
8932,1057,1767292765,8,payout,12,,LegacyPSP-B,,,GB,CA,CY
28100,1004,1767294052,10,sale,3,Card expired,,,,MX,,BR
24761,1020,1767294379,13,authorization,2,,,PP-Fallback,,CA,,CY
5443,1035,1767295384,9,refund,2,,LegacyPSP-B,PP-Fallback,,PL,,CY
25385,1064,1767295691,1,authorization,4,,,,bank_transfer,BR,,CY
19438,1004,1767296711,13,refund,3,Transaction timed out. Old status pending_async. New status declined.,,,,MX,,CY
6363,1004,1767297464,13,refund,3,Issuer unavailable,,,,MX,DE,CY
6395,1073,1767298823,9,withdrawal,3,Transaction timed out. Old status pending. New status declined.,,,,ES,US,CY
12748,1018,1767299039,8,sale,4,,,PP-Fallback,,DE,MX,CY
3849,1058,1767299273,4,payout,3,Transaction timed out. Old status pending_async. New status declined.,,,,PL,,CY
17672,1039,1767299516,1,payout,2,,,,,CA,DE,CY
11304,1044,1767299685,6,api_sale,2,,,,,US,GB,CY
19773,1067,1767299812,9,authorization,12,,LegacyPSP-B,,,CA,PL,CY
187,1013,1767300099,8,deposit,4,,,,,CA,ES,CY
21890,1058,1767300360,3,authorization,3,Transaction timed out. Old status pending_async. New status declined.,,,,PL,GB,CY
1758,1058,1767300785,3,sale,4,,,,,PL,GB,CY
10768,1064,1767301664,5,deposit,3,Card expired,,PP-Fallback,,BR,ES,CY
28725,1010,1767302824,5,api_sale,2,,,,card,NL,,CY
25960,1011,1767303665,14,sale,3,Invalid CVV,,,,CA,PL,CY
13482,1011,1767305900,14,refund,4,,,,,CA,ES,CY
7825,1059,1767306173,14,capture,4,,,,,US,,CY
2055,1018,1767306510,10,deposit,2,,,,,DE,GB,CY
20982,1010,1767306766,8,withdrawal,3,Insufficient funds,,PP-Fallback,,NL,NL,BR
24478,1019,1767306898,13,withdrawal,3,Card expired,,,,MX,MX,CY
23324,1010,1767307336,6,refund,3,Transaction timed out. Old status pending. New status declined.,,,bank_transfer,NL,BR,CY
5171,1003,1767307685,6,capture,3,Invalid CVV,,,,US,,CY
24583,1009,1767310845,5,sale,2,,,,,CA,ES,CY
1160,1007,1767311481,11,authorization,3,Card expired,,,card,DE,CA,CY
16129,1059,1767311973,9,withdrawal,4,,LegacyPSP-B,,card,US,ES,CY
24788,1029,1767312877,6,refund,4,,,,card,MX,PL,CY
2490,1024,1767315447,4,capture,3,Suspected fraud,,,bank_transfer,CA,BR,CY
28477,1009,1767315538,5,deposit,2,,,PP-Fallback,,CA,CA,CY
14836,1057,1767315585,8,deposit,4,,,,bank_transfer,GB,DE,CY
22071,1066,1767315886,14,deposit,12,,,,,GB,,CY
29249,1073,1767316787,9,withdrawal,3,Invalid CVV,,,wallet,ES,,CY
23800,1009,1767316906,4,authorization,3,Invalid CVV,LegacyPSP-B,PP-Fallback,,CA,GB,CY
23538,1052,1767316990,11,api_sale,2,,,,,CA,PL,CY
23466,1062,1767317301,7,payout,2,,,PP-Fallback,,PL,MX,CY
12495,1074,1767318794,13,api_sale,2,,LegacyPSP-A,,,ES,CA,CY
11737,1018,1767319552,10,authorization,3,Insufficient funds,,,,DE,GB,BR
782,1004,1767320370,13,deposit,3,Issuer unavailable,,,,MX,,CY
4975,1074,1767321070,14,authorization,2,,,,,ES,GB,CY
20340,1071,1767321342,6,capture,4,,LegacyPSP-A,,bank_transfer,DE,GB,CY
10143,1052,1767321515,11,sale,3,Transaction timed out. Old status pending_async. New status declined.,,,,CA,,CY
1905,1018,1767321706,8,payout,1,,LegacyPSP-B,,card,DE,,CY
14057,1011,1767322192,14,sale,3,Card expired,LegacyPSP-B,,card,CA,DE,CY
23621,1004,1767322341,10,api_sale,3,Transaction timed out. Old status pending_async. New status declined.,,,,MX,,CY
8141,1019,1767322460,10,payout,3,Suspected fraud,LegacyPSP-A,,,MX,,CY
16517,1036,1767322662,2,capture,4,,,,,MX,ES,CY
4474,1074,1767322699,14,payout,3,Transaction timed out. Old status pending_async. New status declined.,,,,ES,DE,CY
20828,1051,1767323246,4,payout,2,,,,,FR,,CY
8709,1044,1767323694,5,refund,4,,,,,US,BR,CY
2234,1058,1767324461,11,deposit,3,Invalid CVV,,,,PL,MX,CY
6588,1018,1767324969,10,refund,1,,LegacyPSP-A,,,DE,,CY
17298,1066,1767325112,14,api_sale,3,Do not honor,LegacyPSP-B,PP-Fallback,,GB,CA,CY
19699,1066,1767327920,14,withdrawal,2,,LegacyPSP-A,PP-Fallback,,GB,,CY
12145,1049,1767328173,7,sale,3,Do not honor,,,,CA,GB,CY
20575,1042,1767328316,8,sale,7,,,,,BR,FR,CY
18347,1051,1767328744,4,withdrawal,4,,,PP-Fallback,,FR,ES,CY
22947,1059,1767329000,12,deposit,2,,,,,US,MX,CY
19201,1067,1767329042,14,authorization,12,,,,,CA,PL,CY
26306,1009,1767329461,1,payout,3,Do not honor,,PP-Fallback,,CA,,CY
9984,1007,1767330063,11,refund,3,Insufficient funds,,,card,DE,US,BR
27751,1031,1767330704,4,payout,3,Transaction timed out. Old status pending. New status declined.,,,,MX,ES,CY
28086,1044,1767331834,6,sale,2,,,,,US,,CY
21133,1029,1767331992,3,capture,12,,,,card,MX,GB,CY
21288,1030,1767335031,8,sale,3,Card expired,,,,CA,PL,CY
24434,1038,1767336989,1,api_sale,3,Invalid CVV,LegacyPSP-A,,,DE,,BR
24893,1011,1767337739,14,withdrawal,2,,,,bank_transfer,CA,MX,CY
19825,1030,1767337984,3,authorization,2,,,PP-Fallback,,CA,BR,CY
10494,1018,1767338036,10,sale,12,,,,bank_transfer,DE,DE,CY
20448,1010,1767338620,4,withdrawal,4,,,,,NL,ES,CY
26942,1020,1767339112,9,refund,3,Transaction timed out. Old status pending_async. New status declined.,,,,CA,MX,CY
8198,1048,1767339252,1,refund,3,Card expired,LegacyPSP-A,,card,PL,,BR
20100,1029,1767339360,13,deposit,12,,,,bank_transfer,MX,,CY
21551,1001,1767339764,9,api_sale,3,Transaction timed out. Old status pending_async. New status declined.,,,wallet,BR,DE,CY
43,1015,1767341001,10,capture,4,,,,,PL,GB,CY
1043,1020,1767341679,13,withdrawal,12,,,,,CA,,CY
25578,1058,1767341830,11,authorization,2,,,,,PL,NL,BR
29425,1073,1767342122,9,authorization,4,,,,bank_transfer,ES,GB,CY
4718,1058,1767342316,3,deposit,4,,,,card,PL,DE,CY
9771,1019,1767342764,11,sale,12,,,,,MX,,CY
19468,1012,1767345649,9,withdrawal,3,Do not honor,LegacyPSP-B,,,MX,CA,CY
3584,1064,1767346176,1,api_sale,12,,,PP-Fallback,,BR,ES,CY
26058,1012,1767346249,9,payout,4,,LegacyPSP-B,,,MX,PL,CY
15022,1011,1767347069,14,payout,7,,,,,CA,,CY
3018,1030,1767348247,6,deposit,4,,,PP-Fallback,,CA,ES,CY
3043,1039,1767348565,1,api_sale,2,,LegacyPSP-B,,,CA,,CY
26564,1018,1767348631,8,api_sale,4,,,PP-Fallback,,DE,,CY
15788,1011,1767350249,14,withdrawal,3,Insufficient funds,,,,CA,US,CY
10344,1065,1767350550,5,payout,12,,,,,DE,,CY
16575,1047,1767351622,2,withdrawal,12,,,,,PL,,CY
14596,1011,1767352338,14,authorization,3,Issuer unavailable,,,,CA,,CY
791,1057,1767352365,6,deposit,2,,,,,GB,BR,CY
27782,1030,1767352537,3,api_sale,12,,LegacyPSP-B,,,CA,ES,CY
22996,1018,1767352785,10,api_sale,4,,,,,DE,,BR
18863,1030,1767354014,3,sale,2,,LegacyPSP-B,,,CA,MX,CY
3260,1007,1767354213,2,deposit,4,,LegacyPSP-A,,,DE,PL,CY
22466,1067,1767354292,9,refund,2,,LegacyPSP-B,,,CA,,CY
3158,1018,1767355831,10,authorization,12,,LegacyPSP-A,,wallet,DE,,BR
25504,1002,1767356663,12,refund,12,,LegacyPSP-B,,,ES,US,CY
22893,1031,1767356850,2,api_sale,4,,LegacyPSP-A,PP-Fallback,,MX,BR,CY
28875,1063,1767357406,2,refund,2,,LegacyPSP-B,,,NL,BR,CY
28118,1012,1767358881,14,api_sale,4,,LegacyPSP-B,,,MX,,CY
29614,1073,1767359663,9,api_sale,3,Transaction timed out. Old status pending. New status declined.,,PP-Fallback,card,ES,GB,CY
21574,1075,1767359787,6,refund,4,,,,wallet,FR,,CY
7992,1010,1767360881,8,withdrawal,1,,,,bank_transfer,NL,,CY
10712,1038,1767363416,2,deposit,3,Invalid CVV,LegacyPSP-B,,,DE,BR,CY
12157,1031,1767363745,4,withdrawal,2,,LegacyPSP-A,,,MX,DE,CY
18640,1016,1767364310,13,payout,2,,,PP-Fallback,wallet,MX,DE,CY
29217,1061,1767364382,1,sale,2,,,,card,DE,,CY
23051,1052,1767364556,6,capture,2,,,,,CA,MX,CY
19739,1031,1767364646,4,sale,2,,,PP-Fallback,,MX,CA,BR
14802,1020,1767367206,13,withdrawal,2,,LegacyPSP-A,,,CA,GB,CY
5198,1010,1767367416,5,sale,3,Suspected fraud,,,,NL,DE,CY
23269,1058,1767367506,11,sale,2,,,,wallet,PL,MX,CY
25472,1058,1767367951,3,authorization,12,,LegacyPSP-A,,,PL,BR,CY
2564,1049,1767370454,11,authorization,12,,,,card,CA,,CY
17775,1050,1767370706,11,sale,3,Suspected fraud,,,,DE,BR,CY
18944,1065,1767370878,9,api_sale,4,,LegacyPSP-A,,,DE,,CY
28248,1049,1767373297,13,capture,3,Issuer unavailable,LegacyPSP-B,,,CA,BR,CY
15912,1009,1767373413,13,api_sale,2,,,,,CA,GB,CY
11294,1005,1767373432,1,capture,3,Transaction timed out. Old status pending_async. New status declined.,,,,CA,DE,CY
14825,1005,1767375052,10,refund,3,Invalid CVV,,,wallet,CA,,BR
5194,1066,1767376593,14,withdrawal,3,Suspected fraud,,,,GB,,CY
1845,1067,1767376912,9,capture,12,,,,,CA,,CY
14198,1011,1767377500,14,deposit,4,,,,,CA,ES,CY
12928,1038,1767377808,2,capture,1,,,,,DE,DE,CY
25009,1007,1767378121,11,sale,3,Do not honor,LegacyPSP-A,,,DE,MX,CY
11895,1029,1767378893,5,sale,4,,,,,MX,FR,CY
16167,1049,1767379621,7,authorization,2,,,PP-Fallback,,CA,,CY
16094,1018,1767379737,10,authorization,4,,,,,DE,MX,CY
5785,1049,1767379748,4,capture,4,,,,,CA,,CY
28219,1059,1767382928,14,payout,3,Suspected fraud,LegacyPSP-A,,bank_transfer,US,ES,CY
4301,1011,1767383592,14,api_sale,4,,,,,CA,,CY
27104,1011,1767384383,14,api_sale,4,,,,,CA,GB,CY
10066,1031,1767384802,4,withdrawal,2,,LegacyPSP-B,,,MX,,CY
2462,1044,1767385539,6,payout,3,Issuer unavailable,,,,US,,CY
8499,1059,1767385560,9,api_sale,2,,,,,US,,CY
15530,1058,1767386074,3,withdrawal,2,,,,,PL,,CY
3652,1020,1767386232,9,api_sale,2,,,PP-Fallback,,CA,PL,CY
10040,1057,1767386800,6,authorization,4,,LegacyPSP-B,,card,GB,,CY
4910,1010,1767386828,8,sale,1,,,,,NL,MX,CY
6894,1042,1767388344,10,capture,7,,,PP-Fallback,,BR,FR,CY
2616,1020,1767390076,13,payout,3,Issuer unavailable,,,,CA,ES,CY
27445,1067,1767392066,14,api_sale,3,Invalid CVV,,,,CA,,CY
24803,1062,1767392827,7,authorization,4,,LegacyPSP-A,,,PL,,CY
22993,1048,1767392956,7,refund,3,Invalid CVV,LegacyPSP-B,,card,PL,DE,CY
2891,1004,1767393403,13,deposit,12,,,PP-Fallback,,MX,NL,CY
20967,1058,1767394052,4,refund,3,Suspected fraud,,,,PL,MX,BR
15245,1007,1767394409,4,capture,4,,LegacyPSP-B,,bank_transfer,DE,PL,CY
13535,1004,1767394543,10,refund,3,Card expired,LegacyPSP-A,,,MX,,CY
19834,1076,1767395389,7,deposit,4,,LegacyPSP-B,,,BR,ES,CY
24853,1066,1767396393,14,payout,3,Do not honor,,,,GB,,CY
19433,1018,1767397228,8,payout,4,,,,,DE,MX,CY
17282,1059,1767397980,12,authorization,4,,,,,US,,CY
2291,1053,1767398067,11,capture,2,,,,,NL,BR,CY
10006,1073,1767398216,9,refund,7,,,PP-Fallback,,ES,DE,BR
12815,1051,1767399209,1,sale,12,,,,,FR,FR,CY
21989,1058,1767399328,4,capture,1,,,,,PL,NL,CY
11313,1015,1767399402,10,capture,2,,LegacyPSP-B,,,PL,BR,CY
9517,1068,1767401525,9,refund,3,Insufficient funds,,,,DE,DE,CY
20358,1018,1767402352,8,refund,2,,,PP-Fallback,,DE,DE,CY
22765,1015,1767402911,10,authorization,3,Card expired,,,,PL,FR,CY
17062,1009,1767403411,13,withdrawal,3,Suspected fraud,,,,CA,,CY
22642,1004,1767404735,8,authorization,3,Issuer unavailable,,,,MX,NL,CY
5048,1051,1767405896,1,authorization,3,Suspected fraud,LegacyPSP-B,,,FR,,CY
11838,1037,1767407623,5,api_sale,3,Transaction timed out. Old status pending. New status declined.,,,,MX,,CY
11530,1010,1767407874,4,payout,3,Transaction timed out. Old status pending_async. New status declined.,,,,NL,US,CY
4267,1031,1767409847,4,sale,4,,LegacyPSP-A,,,MX,NL,CY
6099,1048,1767409868,1,refund,12,,LegacyPSP-B,PP-Fallback,,PL,BR,CY
22867,1066,1767410082,14,refund,7,,,PP-Fallback,,GB,,CY
25990,1010,1767410514,8,payout,4,,LegacyPSP-A,,,NL,US,CY
19880,1059,1767412253,14,api_sale,3,Transaction timed out. Old status pending. New status declined.,,,bank_transfer,US,ES,CY
13539,1076,1767412716,7,refund,3,Do not honor,LegacyPSP-B,PP-Fallback,,BR,ES,CY
7475,1015,1767412888,10,capture,3,Do not honor,,,,PL,,CY
2931,1073,1767413472,9,api_sale,3,Insufficient funds,,,wallet,ES,,CY
28658,1071,1767413524,6,sale,12,,LegacyPSP-B,,,DE,DE,CY
26217,1073,1767413657,9,withdrawal,4,,LegacyPSP-B,,,ES,NL,CY
1964,1058,1767415745,11,withdrawal,4,,,PP-Fallback,,PL,,CY
6560,1007,1767416095,8,payout,2,,,,bank_transfer,DE,,CY
8072,1015,1767418125,10,authorization,3,Insufficient funds,,,,PL,PL,CY
21555,1034,1767418796,10,authorization,2,,LegacyPSP-A,,,MX,NL,CY
14493,1061,1767419382,1,api_sale,4,,,,card,DE,ES,CY
18067,1020,1767420045,9,payout,12,,LegacyPSP-B,PP-Fallback,,CA,NL,CY
1084,1011,1767421322,14,capture,4,,LegacyPSP-A,,,CA,PL,CY
19634,1052,1767422489,3,withdrawal,7,,,,card,CA,ES,CY
11606,1048,1767423260,7,withdrawal,1,,,,,PL,,CY
22526,1030,1767426069,8,payout,2,,,,,CA,NL,CY
22457,1004,1767428787,8,api_sale,12,,,,,MX,PL,CY
11611,1029,1767429206,6,capture,3,Insufficient funds,,,,MX,,CY
29684,1053,1767430789,11,authorization,2,,,,,NL,US,CY
20893,1051,1767431147,1,refund,4,,,,,FR,DE,CY
6879,1009,1767431189,4,capture,3,Suspected fraud,,,,CA,PL,CY
27874,1067,1767432113,14,deposit,12,,LegacyPSP-A,,,CA,DE,CY
14288,1029,1767432644,13,authorization,4,,,,,MX,NL,CY
9043,1059,1767432754,9,capture,2,,LegacyPSP-A,,card,US,NL,CY
29478,1004,1767433374,13,refund,3,Do not honor,,,bank_transfer,MX,ES,BR
9544,1067,1767433463,9,api_sale,3,Issuer unavailable,LegacyPSP-B,,,CA,,CY
4966,1059,1767434391,14,withdrawal,2,,LegacyPSP-B,,card,US,,BR
3740,1041,1767435184,13,authorization,12,,,,wallet,BR,,CY
19506,1011,1767437777,14,sale,2,,,,bank_transfer,CA,MX,CY
29288,1044,1767438281,5,refund,4,,LegacyPSP-B,PP-Fallback,,US,PL,CY
21591,1051,1767439624,4,payout,4,,,PP-Fallback,,FR,ES,CY
16611,1038,1767441799,2,payout,12,,,,,DE,,CY
1245,1012,1767442316,14,deposit,3,Do not honor,LegacyPSP-B,PP-Fallback,,MX,PL,CY
24025,1010,1767443021,5,withdrawal,3,Insufficient funds,,PP-Fallback,card,NL,,CY
9070,1057,1767446178,6,authorization,4,,LegacyPSP-B,PP-Fallback,,GB,GB,CY
25670,1011,1767447341,14,refund,3,Transaction timed out. Old status pending_async. New status declined.,,,,CA,ES,CY
12664,1038,1767447741,5,authorization,3,Insufficient funds,,,bank_transfer,DE,,CY
7003,1061,1767448289,1,capture,3,Transaction timed out. Old status pending_async. New status declined.,,PP-Fallback,,DE,,CY
8956,1042,1767449707,8,authorization,2,,,,card,BR,,CY
23101,1044,1767452487,12,refund,4,,LegacyPSP-A,,,US,DE,CY
26211,1011,1767454087,14,payout,3,Transaction timed out. Old status pending. New status declined.,,PP-Fallback,,CA,,BR
18310,1009,1767454108,1,payout,12,,,PP-Fallback,,CA,,CY
4083,1058,1767454368,11,authorization,3,Do not honor,,,,PL,BR,CY
24562,1029,1767456949,6,authorization,3,Invalid CVV,LegacyPSP-B,PP-Fallback,,MX,,CY
18021,1012,1767457440,9,deposit,12,,,,,MX,FR,CY
14149,1054,1767457798,11,withdrawal,12,,,PP-Fallback,,BR,MX,CY
2565,1064,1767458429,5,refund,3,Card expired,,,,BR,MX,CY
1745,1020,1767458623,13,authorization,4,,,,,CA,,CY
13731,1058,1767458753,4,sale,2,,LegacyPSP-A,,,PL,,CY
28542,1030,1767459354,3,refund,3,Issuer unavailable,,PP-Fallback,,CA,,CY
24957,1015,1767459544,10,capture,3,Transaction timed out. Old status pending. New status declined.,LegacyPSP-A,,,PL,PL,CY
8219,1058,1767459547,3,api_sale,4,,,,,PL,MX,CY
26508,1049,1767459556,13,capture,3,Card expired,,,,CA,,CY
299,1067,1767459924,13,api_sale,12,,LegacyPSP-A,,,CA,,CY
11076,1049,1767461328,4,sale,12,,,,,CA,FR,CY
15420,1059,1767461559,9,sale,3,Transaction timed out. Old status pending_async. New status declined.,,,bank_transfer,US,DE,CY
13354,1073,1767462264,9,payout,12,,,PP-Fallback,,ES,MX,CY
17228,1031,1767463529,2,refund,3,Do not honor,LegacyPSP-B,,,MX,,CY
12351,1073,1767464801,9,authorization,3,Card expired,,,,ES,US,CY
18927,1042,1767466009,8,deposit,12,,,,,BR,PL,CY
647,1076,1767466136,4,withdrawal,2,,,,,BR,,CY
5800,1067,1767467149,9,withdrawal,2,,LegacyPSP-B,,bank_transfer,CA,NL,CY
3709,1036,1767467643,11,sale,3,Do not honor,,PP-Fallback,bank_transfer,MX,ES,CY
11660,1058,1767469429,3,authorization,2,,LegacyPSP-A,,,PL,MX,CY
6798,1015,1767469931,10,deposit,3,Suspected fraud,LegacyPSP-B,,,PL,ES,CY
20539,1057,1767470307,11,payout,4,,,,card,GB,,CY
15168,1018,1767470873,8,authorization,12,,,PP-Fallback,,DE,,CY
18856,1062,1767473845,7,authorization,3,Insufficient funds,LegacyPSP-B,,,PL,,CY
11398,1012,1767474572,9,authorization,4,,,,,MX,,CY
4475,1004,1767475284,9,api_sale,4,,,,,MX,FR,CY
13384,1073,1767475621,9,deposit,3,Transaction timed out. Old status pending. New status declined.,LegacyPSP-B,,,ES,US,CY
12647,1042,1767476989,8,payout,3,Invalid CVV,,PP-Fallback,,BR,PL,CY
6431,1030,1767478340,6,authorization,3,Card expired,,,,CA,US,BR
5844,1011,1767479080,14,capture,3,Suspected fraud,,,,CA,FR,CY
16390,1067,1767482236,13,capture,4,,,,,CA,ES,CY
2590,1018,1767482321,8,sale,2,,LegacyPSP-A,,,DE,,BR
25560,1012,1767482345,12,withdrawal,12,,,,,MX,,CY
9472,1030,1767482596,3,deposit,3,Transaction timed out. Old status pending. New status declined.,,,,CA,PL,CY
2608,1007,1767483041,11,sale,3,Issuer unavailable,,,,DE,,CY
23098,1017,1767483328,1,payout,3,Issuer unavailable,LegacyPSP-A,,,BR,US,CY
15477,1010,1767484271,5,api_sale,3,Transaction timed out. Old status pending. New status declined.,LegacyPSP-A,,,NL,BR,CY
26229,1009,1767485140,5,capture,4,,,,,CA,NL,CY
9263,1059,1767485197,12,capture,4,,LegacyPSP-A,,,US,,CY
3144,1011,1767485317,14,payout,12,,,PP-Fallback,,CA,CA,CY
13847,1058,1767487283,11,refund,4,,,PP-Fallback,,PL,,BR
