Order ID,Order Date,Order Time,Customer ID,Membership Status,Restaurant Name,Cuisine Type,City,Order Status,Items Count,Subtotal,Base Delivery Fee,JET+ Delivery Fees Funded,JET+ Logistics Delivery Fee Share,Service Fee,Tip Amount,Order Total,Payment Method,Delivery Time (min),Driver ID,Customer Rating,Promo Code Used
ORD-100021,2025-01-18,13:46,CUST-1237,Non-Member,Stars & Stripes Diner,American,Hillsboro,Delivered,4,12.2,3.78,0.0,2.6,1.34,1.02,18.34,PayPal,33,DRV-279,5,SAVE10
ORD-100022,2025-01-18,18:05,CUST-1294,JET+ Member,Tokyo Bento Box,Japanese,Hillsboro,Delivered,4,36.9,5.41,5.41,4.18,4.06,6.02,46.98,PayPal,52,DRV-296,4,
ORD-100023,2025-01-19,00:01,CUST-1017,Non-Member,Pitmaster's Porch,BBQ,Lake Oswego,Cancelled by Restaurant,5,84.83,7.21,0.0,5.56,9.33,20.17,121.54,Gift Card,,DRV-228,,FREEDEL
ORD-100024,2025-01-19,02:12,CUST-1295,Non-Member,The Griddle House,American,Beaverton,Delivered,4,32.91,5.72,0.0,4.29,3.62,3.17,45.42,Apple Pay,20,DRV-247,4,
ORD-100025,2025-01-19,08:56,CUST-1391,JET+ Member,Falafel House,Mediterranean,Hillsboro,Delivered Late,3,43.73,3.08,3.08,1.95,4.81,4.34,52.88,Google Pay,53,DRV-292,4,
ORD-100026,2025-01-21,08:47,CUST-1106,Non-Member,Golden Dragon,Chinese,Beaverton,Refunded,3,81.91,5.05,0.0,3.37,9.01,15.28,111.25,Apple Pay,,DRV-256,,
ORD-100027,2025-01-22,20:47,CUST-1254,Non-Member,Curry Corner,Indian,Tigard,Delivered,1,56.47,4.6,0.0,2.9,6.21,8.36,75.64,Gift Card,19,DRV-200,4,
ORD-100028,2025-01-23,08:26,CUST-1079,Non-Member,Wok This Way,Asian Fusion,Portland,Delivered,5,74.71,7.47,0.0,4.5,8.22,8.77,99.17,Google Pay,59,DRV-287,5,NEWUSER
ORD-100029,2025-01-23,18:19,CUST-1268,Non-Member,El Pollo Feliz,Mexican,Portland,Delivered,7,33.78,3.99,0.0,2.85,3.72,4.64,46.13,Debit Card,23,DRV-287,5,
ORD-100030,2025-01-24,17:48,CUST-1032,Non-Member,Fresh Roots Salads,Healthy,Gresham,Delivered,2,32.12,5.92,0.0,3.71,3.53,8.01,49.58,Debit Card,70,DRV-258,5,
ORD-100031,2025-01-24,21:51,CUST-1165,JET+ Member,Noodle & Co Express,Asian Fusion,Tigard,Delivered,2,38.16,5.69,5.69,3.63,4.2,7.12,49.48,Credit Card,63,DRV-287,4,SAVE10
ORD-100032,2025-01-24,22:27,CUST-1049,Non-Member,Sunrise Skillet,Breakfast,Tigard,Delivered,4,28.49,4.62,0.0,3.63,3.13,2.69,38.93,Debit Card,61,DRV-242,4,
ORD-100033,2025-01-27,18:09,CUST-1238,JET+ Member,El Pollo Feliz,Mexican,Tigard,Delivered,5,69.17,5.92,5.92,4.28,7.61,3.94,80.72,Apple Pay,60,DRV-223,4,
ORD-100034,2025-01-27,18:43,CUST-1048,JET+ Member,La Taqueria,Mexican,Lake Oswego,Cancelled by Customer,7,61.82,3.29,3.29,1.91,6.8,7.2,75.82,Credit Card,,DRV-294,,
ORD-100035,2025-01-28,02:49,CUST-1243,Non-Member,Olive & Vine,Mediterranean,Tigard,Refunded,4,78.82,5.1,0.0,3.22,8.67,16.31,108.9,Apple Pay,,DRV-233,,
ORD-100036,2025-01-30,00:32,CUST-1282,Non-Member,Mama Rosa's Pizzeria,Italian,Lake Oswego,Delivered,2,57.1,2.02,0.0,1.2,6.28,9.07,74.47,Debit Card,39,DRV-292,4,NEWUSER
ORD-100037,2025-01-31,15:12,CUST-1092,Non-Member,Sushi Zen,Japanese,Portland,Delivered,7,14.73,5.32,0.0,3.42,1.62,3.06,24.73,Credit Card,64,DRV-231,4,SUMMER26
ORD-100038,2025-02-01,07:04,CUST-1221,JET+ Member,Wok This Way,Asian Fusion,Gresham,Delivered,6,74.66,2.31,2.31,1.61,8.21,18.36,101.23,Google Pay,48,DRV-204,4,SAVE10
ORD-100039,2025-02-01,14:31,CUST-1054,Non-Member,Pitmaster's Porch,BBQ,Gresham,Cancelled by Restaurant,5,82.59,7.2,0.0,4.53,9.08,15.48,114.35,PayPal,,DRV-245,,FREEDEL
ORD-100040,2025-02-05,06:05,CUST-1239,Non-Member,Ramen Republic,Japanese,Lake Oswego,Delivered,2,52.47,3.32,0.0,2.39,5.77,5.08,66.64,Google Pay,38,DRV-292,4,FREEDEL
ORD-100041,2025-02-05,13:18,CUST-1271,Non-Member,Wok This Way,Asian Fusion,Tigard,Delivered,3,48.56,5.23,0.0,3.96,5.34,4.09,63.22,Google Pay,56,DRV-257,5,
ORD-100042,2025-02-06,02:40,CUST-1301,JET+ Member,Smoky Joe's BBQ,BBQ,Gresham,Delivered,2,81.85,3.13,3.13,1.86,9.0,9.11,99.96,Credit Card,28,DRV-278,2,
ORD-100043,2025-02-06,10:11,CUST-1210,Non-Member,Bao Down,Chinese,Beaverton,Delivered,7,68.5,4.62,0.0,3.53,7.54,11.94,92.6,Gift Card,23,DRV-273,4,
ORD-100044,2025-02-07,01:43,CUST-1127,Non-Member,Lucky Panda Wok,Chinese,Hillsboro,Delivered,5,37.27,5.5,0.0,3.85,4.1,2.93,49.8,Google Pay,36,DRV-269,4,SAVE10
ORD-100045,2025-02-08,09:31,CUST-1331,Non-Member,Burger Barn,American,Portland,Delivered,3,82.82,4.75,0.0,3.37,9.11,16.37,113.05,Apple Pay,31,DRV-286,5,FREEDEL
ORD-100046,2025-02-09,18:08,CUST-1348,JET+ Member,Fresh Roots Salads,Healthy,Lake Oswego,Delivered,3,16.7,4.09,4.09,2.43,1.84,2.76,21.3,Credit Card,68,DRV-255,5,NEWUSER
ORD-100047,2025-02-09,19:58,CUST-1177,Non-Member,Wok This Way,Asian Fusion,Hillsboro,Delivered,2,55.02,5.19,0.0,3.75,6.05,6.49,72.75,Gift Card,58,DRV-299,5,NEWUSER
ORD-100048,2025-02-10,04:42,CUST-1319,JET+ Member,Sushi Zen,Japanese,Lake Oswego,Delivered,6,47.93,5.59,5.59,4.38,5.27,1.43,54.63,Apple Pay,24,DRV-208,5,
ORD-100049,2025-02-11,01:53,CUST-1189,Non-Member,Ramen Republic,Japanese,Lake Oswego,Delivered,1,53.66,3.87,0.0,2.27,5.9,3.58,67.01,Debit Card,67,DRV-260,5,NEWUSER
ORD-100050,2025-02-11,10:08,CUST-1215,JET+ Member,Trattoria Bella,Italian,Portland,Delivered,4,30.08,2.92,2.92,2.0,3.31,5.23,38.62,PayPal,29,DRV-240,2,SUMMER26
ORD-100051,2025-02-12,03:59,CUST-1298,JET+ Member,The Green Bowl,Healthy,Gresham,Cancelled by Restaurant,6,12.04,4.61,4.61,3.43,1.32,0.1,13.46,Apple Pay,,DRV-234,,
ORD-100052,2025-02-12,05:22,CUST-1050,Non-Member,Lucky Panda Wok,Chinese,Portland,Cancelled by Restaurant,5,54.52,3.78,0.0,2.14,6.0,9.86,74.16,Credit Card,,DRV-276,,SAVE10
ORD-100053,2025-02-12,14:40,CUST-1111,JET+ Member,Ramen Republic,Japanese,Lake Oswego,Delivered Late,1,47.68,5.59,5.59,3.4,5.24,4.51,57.43,Apple Pay,67,DRV-260,4,
ORD-100054,2025-02-13,06:54,CUST-1092,JET+ Member,Lucky Panda Wok,Chinese,Hillsboro,Delivered,3,60.87,6.69,6.69,3.81,6.7,0.34,67.91,Gift Card,24,DRV-212,5,
ORD-100055,2025-02-14,01:48,CUST-1079,JET+ Member,Sunrise Skillet,Breakfast,Hillsboro,Delivered,2,69.19,3.12,3.12,1.9,7.61,13.48,90.28,Google Pay,22,DRV-240,4,NEWUSER
ORD-100056,2025-02-15,03:17,CUST-1216,JET+ Member,Pancake Palace,Breakfast,Beaverton,Cancelled by Customer,4,21.41,6.12,6.12,4.81,2.36,2.28,26.05,PayPal,,DRV-209,,SAVE10
ORD-100057,2025-02-15,06:23,CUST-1083,Non-Member,Casa de Tacos,Mexican,Tigard,Delivered,5,53.11,7.28,0.0,5.22,5.84,6.26,72.49,PayPal,36,DRV-208,1,
ORD-100058,2025-02-15,23:28,CUST-1244,Non-Member,Trattoria Bella,Italian,Portland,Cancelled by Restaurant,5,57.52,2.8,0.0,2.03,6.33,9.7,76.35,Debit Card,,DRV-207,,
ORD-100059,2025-02-18,14:10,CUST-1014,Non-Member,Noodle & Co Express,Asian Fusion,Beaverton,Refunded,7,36.77,5.18,0.0,3.17,4.04,2.25,48.24,Credit Card,,DRV-207,,
ORD-100060,2025-02-21,23:44,CUST-1303,JET+ Member,Lucky Panda Wok,Chinese,Lake Oswego,Refunded,4,66.96,2.51,2.51,1.76,7.37,2.39,76.72,Debit Card,,DRV-223,,SAVE10
ORD-100061,2025-02-22,12:25,CUST-1337,JET+ Member,El Pollo Feliz,Mexican,Portland,Cancelled by Customer,1,22.94,3.11,3.11,2.12,2.52,4.85,30.31,Debit Card,,DRV-256,,
ORD-100062,2025-02-23,09:13,CUST-1105,Non-Member,Banh Mi Bros,Vietnamese,Hillsboro,Delivered,5,24.58,7.57,0.0,4.24,2.7,3.47,38.32,Gift Card,49,DRV-225,1,NEWUSER
ORD-100063,2025-02-23,13:02,CUST-1049,Non-Member,Curry Corner,Indian,Lake Oswego,Delivered,3,52.53,5.57,0.0,4.17,5.78,9.89,73.77,Gift Card,68,DRV-280,1,
ORD-100064,2025-02-24,07:40,CUST-1303,Non-Member,Mama Rosa's Pizzeria,Italian,Beaverton,Delivered,7,52.44,2.12,0.0,1.33,5.77,2.32,62.65,Credit Card,55,DRV-227,3,NEWUSER
ORD-100065,2025-02-24,23:22,CUST-1074,Non-Member,Golden Dragon,Chinese,Lake Oswego,Delivered Late,1,50.12,3.28,0.0,1.92,5.51,2.36,61.27,Google Pay,37,DRV-251,5,
ORD-100066,2025-02-26,11:32,CUST-1119,JET+ Member,Olive & Vine,Mediterranean,Portland,Delivered,3,20.38,5.33,5.33,3.39,2.24,4.09,26.71,Gift Card,68,DRV-247,4,SAVE10
ORD-100067,2025-02-27,01:49,CUST-1263,Non-Member,Lucky Panda Wok,Chinese,Beaverton,Delivered,1,52.86,3.83,0.0,2.98,5.81,1.26,63.76,Apple Pay,58,DRV-272,5,
ORD-100068,2025-02-28,02:25,CUST-1118,Non-Member,Tokyo Bento Box,Japanese,Tigard,Delivered,7,81.27,7.49,0.0,5.02,8.94,6.67,104.37,Credit Card,48,DRV-284,4,
ORD-100069,2025-02-28,02:46,CUST-1287,Non-Member,Lotus Thai Cafe,Thai,Tigard,Delivered,3,81.32,6.0,0.0,4.12,8.95,9.12,105.39,PayPal,65,DRV-284,5,SUMMER26
ORD-100070,2025-02-28,17:37,CUST-1013,JET+ Member,Smoky Joe's BBQ,BBQ,Portland,Delivered,5,63.75,7.99,7.99,4.41,7.01,2.57,73.33,Gift Card,56,DRV-205,5,
ORD-100071,2025-02-28,20:46,CUST-1125,JET+ Member,Ramen Republic,Japanese,Portland,Delivered,5,73.82,4.26,4.26,3.22,8.12,8.16,90.1,Apple Pay,60,DRV-213,4,
ORD-100072,2025-03-01,06:31,CUST-1207,JET+ Member,Trattoria Bella,Italian,Lake Oswego,Cancelled by Customer,6,38.73,2.94,2.94,2.12,4.26,2.4,45.39,Google Pay,,DRV-239,,NEWUSER
ORD-100073,2025-03-01,23:50,CUST-1343,Non-Member,Sushi Zen,Japanese,Portland,Delivered,7,78.97,7.1,0.0,5.41,8.69,4.49,99.25,Gift Card,20,DRV-254,5,NEWUSER
ORD-100074,2025-03-02,14:23,CUST-1303,Non-Member,Tokyo Bento Box,Japanese,Beaverton,Delivered,7,35.34,3.75,0.0,2.57,3.89,4.41,47.39,Google Pay,54,DRV-232,1,
ORD-100075,2025-03-04,08:15,CUST-1134,Non-Member,Mama Rosa's Pizzeria,Italian,Hillsboro,Delivered,3,79.5,4.87,0.0,2.99,8.74,4.8,97.91,Google Pay,33,DRV-208,4,SAVE10
ORD-100076,2025-03-05,02:03,CUST-1314,JET+ Member,Wok This Way,Asian Fusion,Beaverton,Delivered,6,82.07,4.94,4.94,2.77,9.03,5.35,96.45,Debit Card,27,DRV-284,1,NEWUSER
ORD-100077,2025-03-06,03:14,CUST-1167,Non-Member,Thai Basil Kitchen,Thai,Portland,Delivered,1,25.42,2.98,0.0,1.67,2.8,5.55,36.75,Google Pay,57,DRV-244,4,
ORD-100078,2025-03-06,04:56,CUST-1386,JET+ Member,The Green Bowl,Healthy,Tigard,Delivered Late,7,58.9,6.66,6.66,3.89,6.48,7.89,73.27,Apple Pay,47,DRV-283,5,
ORD-100079,2025-03-08,00:59,CUST-1061,Non-Member,Lucky Panda Wok,Chinese,Portland,Delivered,7,45.45,2.76,0.0,1.62,5.0,7.18,60.39,Credit Card,40,DRV-264,2,
ORD-100080,2025-03-08,16:03,CUST-1118,Non-Member,Golden Dragon,Chinese,Tigard,Delivered,3,37.25,6.73,0.0,5.18,4.1,3.0,51.08,Gift Card,50,DRV-227,5,SUMMER26
ORD-100081,2025-03-08,16:53,CUST-1303,JET+ Member,Pancake Palace,Breakfast,Beaverton,Cancelled by Customer,6,65.84,7.27,7.27,5.48,7.24,13.36,86.44,Credit Card,,DRV-211,,
ORD-100082,2025-03-08,17:40,CUST-1321,Non-Member,Stars & Stripes Diner,American,Portland,Delivered Late,6,40.29,3.72,0.0,2.68,4.43,1.41,49.85,Debit Card,29,DRV-200,4,NEWUSER
ORD-100083,2025-03-08,21:49,CUST-1355,JET+ Member,Burger Barn,American,Portland,Delivered,2,58.0,5.12,5.12,3.36,6.38,6.73,71.11,Debit Card,29,DRV-282,5,SAVE10
ORD-100084,2025-03-10,06:43,CUST-1142,Non-Member,Sunrise Skillet,Breakfast,Tigard,Cancelled by Customer,1,37.47,6.29,0.0,4.19,4.12,3.38,51.26,Google Pay,,DRV-257,,NEWUSER
ORD-100085,2025-03-12,15:42,CUST-1046,Non-Member,Stars & Stripes Diner,American,Tigard,Delivered,1,53.16,6.32,0.0,3.57,5.85,7.95,73.28,Debit Card,64,DRV-206,5,
ORD-100086,2025-03-12,20:43,CUST-1284,JET+ Member,Ramen Republic,Japanese,Gresham,Delivered,6,53.14,4.96,4.96,2.8,5.85,4.63,63.62,PayPal,67,DRV-203,2,
ORD-100087,2025-03-13,10:13,CUST-1294,Non-Member,Thai Basil Kitchen,Thai,Gresham,Delivered Late,1,33.61,4.22,0.0,2.75,3.7,6.39,47.92,Debit Card,62,DRV-220,2,FREEDEL
ORD-100088,2025-03-13,11:40,CUST-1244,JET+ Member,Slice of Napoli,Italian,Portland,Delivered,1,77.79,5.39,5.39,3.23,8.56,6.7,93.05,Debit Card,51,DRV-250,5,SUMMER26
ORD-100089,2025-03-15,15:50,CUST-1354,Non-Member,Bangkok Street Eats,Thai,Lake Oswego,Delivered,3,18.7,5.99,0.0,4.28,2.06,3.1,29.85,Debit Card,19,DRV-280,5,
ORD-100090,2025-03-16,01:31,CUST-1156,Non-Member,Pitmaster's Porch,BBQ,Lake Oswego,Cancelled by Customer,3,43.23,3.67,0.0,2.65,4.76,9.09,60.75,Gift Card,,DRV-262,,
ORD-100091,2025-03-16,12:05,CUST-1298,Non-Member,Olive & Vine,Mediterranean,Lake Oswego,Delivered,6,76.66,3.29,0.0,2.25,8.43,14.93,103.31,Apple Pay,32,DRV-223,4,
ORD-100092,2025-03-17,01:20,CUST-1364,JET+ Member,Pho Saigon,Vietnamese,Lake Oswego,Cancelled by Restaurant,3,29.54,3.63,3.63,2.03,3.25,2.06,34.85,PayPal,,DRV-241,,
ORD-100093,2025-03-17,03:57,CUST-1339,JET+ Member,Noodle & Co Express,Asian Fusion,Gresham,Delivered,7,12.35,7.11,7.11,5.01,1.36,0.5,14.21,Google Pay,62,DRV-285,5,SUMMER26
ORD-100094,2025-03-18,10:41,CUST-1015,JET+ Member,Mama Rosa's Pizzeria,Italian,Portland,Delivered,3,83.95,7.9,7.9,6.13,9.23,16.76,109.94,Gift Card,33,DRV-263,2,NEWUSER
ORD-100095,2025-03-19,23:54,CUST-1028,JET+ Member,El Pollo Feliz,Mexican,Hillsboro,Delivered,6,15.14,6.32,6.32,4.68,1.67,3.19,20.0,Gift Card,21,DRV-203,4,FREEDEL
ORD-100096,2025-03-20,16:24,CUST-1085,Non-Member,Lotus Thai Cafe,Thai,Hillsboro,Delivered,2,56.34,3.05,0.0,2.22,6.2,3.96,69.55,Apple Pay,35,DRV-249,4,
ORD-100097,2025-03-21,00:48,CUST-1209,JET+ Member,Stars & Stripes Diner,American,Portland,Delivered,4,79.5,5.71,5.71,3.58,8.74,7.95,96.19,PayPal,25,DRV-219,1,NEWUSER
ORD-100098,2025-03-21,02:49,CUST-1096,Non-Member,Ramen Republic,Japanese,Portland,Delivered Late,5,43.15,6.74,0.0,4.69,4.75,0.1,54.74,Debit Card,50,DRV-267,5,SAVE10
ORD-100099,2025-03-21,10:32,CUST-1245,Non-Member,Fresh Roots Salads,Healthy,Tigard,Delivered,2,33.49,4.05,0.0,2.69,3.68,4.23,45.45,Google Pay,74,DRV-239,2,
ORD-100100,2025-03-21,11:13,CUST-1113,JET+ Member,La Taqueria,Mexican,Hillsboro,Delivered,7,55.99,6.16,6.16,3.95,6.16,2.24,64.39,Google Pay,36,DRV-250,1,NEWUSER
ORD-100101,2025-03-22,09:11,CUST-1260,Non-Member,Olive & Vine,Mediterranean,Portland,Cancelled by Customer,1,35.55,7.43,0.0,4.64,3.91,2.45,49.34,Apple Pay,,DRV-268,,FREEDEL
ORD-100102,2025-03-23,14:07,CUST-1261,Non-Member,Curry Corner,Indian,Lake Oswego,Delivered,5,49.19,3.2,0.0,1.84,5.41,10.11,67.91,PayPal,45,DRV-206,4,
ORD-100103,2025-03-23,17:30,CUST-1123,JET+ Member,Pitmaster's Porch,BBQ,Beaverton,Delivered,5,26.36,4.25,4.25,2.76,2.9,0.86,30.12,Debit Card,27,DRV-204,3,FREEDEL
ORD-100104,2025-03-23,19:21,CUST-1140,JET+ Member,The Green Bowl,Healthy,Hillsboro,Delivered,4,36.04,4.7,4.7,3.25,3.96,4.16,44.16,Google Pay,55,DRV-236,4,
ORD-100105,2025-03-23,20:32,CUST-1056,Non-Member,Tokyo Bento Box,Japanese,Gresham,Delivered,4,82.06,5.56,0.0,3.95,9.03,14.56,111.21,Gift Card,58,DRV-281,5,FREEDEL
ORD-100106,2025-03-24,20:10,CUST-1173,Non-Member,The Griddle House,American,Beaverton,Cancelled by Customer,3,25.34,7.29,0.0,4.82,2.79,3.74,39.16,PayPal,,DRV-228,,SUMMER26
ORD-100107,2025-03-25,16:28,CUST-1184,Non-Member,Fresh Roots Salads,Healthy,Hillsboro,Delivered,4,51.2,5.92,0.0,4.41,5.63,10.6,73.35,Credit Card,45,DRV-252,2,
ORD-100108,2025-03-25,22:13,CUST-1110,JET+ Member,Pho Saigon,Vietnamese,Gresham,Delivered,1,18.88,3.13,3.13,2.22,2.08,2.97,23.93,Gift Card,42,DRV-209,5,
ORD-100109,2025-03-27,07:54,CUST-1132,Non-Member,The Green Bowl,Healthy,Gresham,Delivered,1,66.43,2.5,0.0,1.86,7.31,9.8,86.04,PayPal,24,DRV-275,1,
ORD-100110,2025-03-28,07:28,CUST-1343,Non-Member,Lotus Thai Cafe,Thai,Portland,Delivered,2,18.49,6.15,0.0,4.69,2.03,1.62,28.29,Apple Pay,58,DRV-232,5,SUMMER26
ORD-100111,2025-03-29,06:06,CUST-1115,JET+ Member,Stars & Stripes Diner,American,Hillsboro,Delivered,7,20.6,3.42,3.42,2.31,2.27,2.6,25.47,Debit Card,51,DRV-239,2,
ORD-100112,2025-03-29,10:25,CUST-1060,JET+ Member,El Pollo Feliz,Mexican,Tigard,Delivered,5,30.76,6.64,6.64,4.54,3.38,0.11,34.25,Credit Card,18,DRV-251,2,SAVE10
ORD-100113,2025-03-29,10:58,CUST-1276,JET+ Member,Sushi Zen,Japanese,Beaverton,Cancelled by Customer,7,12.07,4.83,4.83,2.7,1.33,0.82,14.22,Gift Card,,DRV-219,,FREEDEL
ORD-100114,2025-03-29,12:59,CUST-1040,JET+ Member,El Pollo Feliz,Mexican,Lake Oswego,Cancelled by Restaurant,3,35.65,6.88,6.88,5.07,3.92,5.95,45.52,Apple Pay,,DRV-298,,
ORD-100115,2025-03-30,18:37,CUST-1149,Non-Member,The Green Bowl,Healthy,Tigard,Delivered,2,40.6,3.19,0.0,2.3,4.47,1.84,50.1,Gift Card,56,DRV-250,5,SAVE10
ORD-100116,2025-04-01,07:23,CUST-1032,Non-Member,The Green Bowl,Healthy,Lake Oswego,Delivered,3,83.59,3.36,0.0,2.05,9.19,17.94,114.08,Apple Pay,31,DRV-267,5,
ORD-100117,2025-04-01,16:53,CUST-1094,Non-Member,Pancake Palace,Breakfast,Lake Oswego,Delivered,1,72.57,5.26,0.0,3.89,7.98,8.57,94.38,Apple Pay,46,DRV-261,4,SUMMER26
ORD-100118,2025-04-02,17:45,CUST-1328,Non-Member,Falafel House,Mediterranean,Gresham,Cancelled by Customer,4,15.88,2.47,0.0,1.92,1.75,2.96,23.06,Google Pay,,DRV-268,,FREEDEL
ORD-100119,2025-04-03,01:35,CUST-1369,Non-Member,Mama Rosa's Pizzeria,Italian,Tigard,Delivered,7,43.97,5.82,0.0,3.2,4.84,10.92,65.55,Google Pay,34,DRV-206,4,
ORD-100120,2025-04-03,12:27,CUST-1178,JET+ Member,Taj Spice Kitchen,Indian,Lake Oswego,Delivered,7,68.85,6.29,6.29,4.17,7.57,4.69,81.11,Apple Pay,23,DRV-212,2,FREEDEL
ORD-100121,2025-04-06,13:51,CUST-1088,JET+ Member,Tokyo Bento Box,Japanese,Portland,Delivered,6,43.09,4.71,4.71,2.6,4.74,8.39,56.22,Google Pay,74,DRV-252,5,
ORD-100122,2025-04-06,15:45,CUST-1262,JET+ Member,La Taqueria,Mexican,Tigard,Delivered,6,33.12,3.54,3.54,2.47,3.64,3.39,40.15,Apple Pay,30,DRV-229,1,SAVE10
ORD-100123,2025-04-07,06:53,CUST-1040,JET+ Member,Olive & Vine,Mediterranean,Portland,Delivered,1,35.05,2.42,2.42,1.9,3.86,3.9,42.81,Debit Card,56,DRV-284,4,
ORD-100124,2025-04-07,07:37,CUST-1146,JET+ Member,Banh Mi Bros,Vietnamese,Tigard,Delivered,7,74.17,2.27,2.27,1.55,8.16,11.4,93.73,Apple Pay,29,DRV-276,2,NEWUSER
ORD-100125,2025-04-08,02:37,CUST-1310,JET+ Member,Golden Dragon,Chinese,Portland,Delivered,6,83.36,4.66,4.66,2.96,9.17,7.79,100.32,Debit Card,25,DRV-229,5,
ORD-100126,2025-04-08,18:28,CUST-1230,JET+ Member,Pancake Palace,Breakfast,Hillsboro,Delivered,2,31.76,7.3,7.3,5.23,3.49,0.89,36.14,Credit Card,65,DRV-215,5,SUMMER26
