pickup_id,pickup_date,product,product_amount,unit,carrier,carrier_appointment_time,carrier_arrival_time,carrier_departure_time
PU-1039,2026-07-23,Bottled Water 24-Pack,305,cases,FedEx Freight,2026-07-23 17:30,2026-07-23 18:14,2026-07-23 19:38
PU-1040,2026-07-23,Dog Food 30lb Bags,12,pallets,TForce Freight,2026-07-23 17:30,2026-07-23 17:33,2026-07-23 18:12
PU-1041,2026-07-24,Breakfast Cereal 18oz,249,cases,ABF Freight,2026-07-24 08:30,2026-07-24 08:43,2026-07-24 09:30
PU-1042,2026-07-24,Microwave Ovens 1.1cu ft,36,units,FedEx Freight,2026-07-24 10:00,2026-07-24 09:45,2026-07-24 10:53
PU-1043,2026-07-24,HVAC Air Filters 20x20,60,cases,Averitt Express,2026-07-24 11:30,2026-07-24 11:34,2026-07-24 12:04
PU-1044,2026-07-24,Bottled Water 24-Pack,371,cases,Estes Express Lines,2026-07-24 12:30,2026-07-24 14:03,2026-07-24 15:21
PU-1045,2026-07-24,Copy Paper 8.5x11,12,pallets,XPO,2026-07-24 13:30,2026-07-24 12:29,2026-07-24 13:12
PU-1046,2026-07-24,Bottled Water 24-Pack,183,cases,Schneider,2026-07-24 15:30,2026-07-24 15:31,2026-07-24 16:29
PU-1047,2026-07-24,Breakfast Cereal 18oz,353,cases,Werner Enterprises,2026-07-24 15:30,2026-07-24 14:22,2026-07-24 16:19
PU-1048,2026-07-24,Laundry Detergent 100oz,115,cases,J.B. Hunt,2026-07-24 16:30,2026-07-24 16:21,2026-07-24 17:14
PU-1049,2026-07-24,Dog Food 30lb Bags,24,pallets,XPO,2026-07-24 17:30,2026-07-24 18:07,2026-07-24 19:06
PU-1050,2026-07-27,Dog Food 30lb Bags,21,pallets,J.B. Hunt,2026-07-27 08:30,2026-07-27 08:29,2026-07-27 09:42
PU-1051,2026-07-27,Motor Oil 5qt,388,cases,Dayton Freight,2026-07-27 10:00,2026-07-27 09:58,2026-07-27 11:36
PU-1052,2026-07-27,Bottled Water 24-Pack,73,cases,FedEx Freight,2026-07-27 16:00,2026-07-27 16:20,2026-07-27 17:17
PU-1053,2026-07-27,Paper Towels 12-Roll,20,pallets,ABF Freight,2026-07-27 16:00,2026-07-27 15:48,2026-07-27 17:12
PU-1054,2026-07-27,Ceramic Floor Tile,24,pallets,Dayton Freight,2026-07-27 16:00,2026-07-27 16:05,2026-07-27 17:35
PU-1055,2026-07-27,Paper Towels 12-Roll,6,pallets,Dayton Freight,2026-07-27 16:30,2026-07-27 16:30,2026-07-27 17:28
PU-1056,2026-07-27,Bottled Water 24-Pack,97,cases,Schneider,2026-07-27 17:00,2026-07-27 18:44,2026-07-27 19:47
PU-1057,2026-07-27,Motor Oil 5qt,56,cases,J.B. Hunt,2026-07-27 18:00,2026-07-27 17:42,2026-07-27 18:07
PU-1058,2026-07-28,Ceramic Floor Tile,16,pallets,Old Dominion Freight Line,2026-07-28 07:00,2026-07-28 06:53,2026-07-28 08:05
PU-1059,2026-07-28,LED Light Bulbs 60W,201,cases,FedEx Freight,2026-07-28 08:00,2026-07-28 08:00,2026-07-28 09:32
PU-1060,2026-07-28,Laundry Detergent 100oz,248,cases,Estes Express Lines,2026-07-28 09:00,2026-07-28 08:42,2026-07-28 09:49
PU-1061,2026-07-28,Garden Hoses 50ft,89,units,FedEx Freight,2026-07-28 11:00,2026-07-28 11:09,2026-07-28 11:58
PU-1062,2026-07-28,Vinyl Gloves Box-100,310,cases,J.B. Hunt,2026-07-28 11:30,2026-07-28 11:29,2026-07-28 12:44
PU-1063,2026-07-28,Canned Tomatoes 28oz,3,pallets,UPS,2026-07-28 13:00,2026-07-28 12:59,2026-07-28 13:28
PU-1064,2026-07-28,HVAC Air Filters 20x20,376,cases,R+L Carriers,2026-07-28 15:30,2026-07-28 15:30,2026-07-28 17:26
PU-1065,2026-07-28,Breakfast Cereal 18oz,342,cases,UPS,2026-07-28 15:30,2026-07-28 15:57,2026-07-28 16:54
PU-1066,2026-07-28,Paper Towels 12-Roll,16,pallets,Old Dominion Freight Line,2026-07-28 16:00,2026-07-28 15:00,2026-07-28 15:37
PU-1067,2026-07-28,Microwave Ovens 1.1cu ft,39,units,UPS,2026-07-28 17:30,2026-07-28 17:35,2026-07-28 18:21
PU-1068,2026-07-28,Microwave Ovens 1.1cu ft,68,units,XPO,2026-07-28 17:30,2026-07-28 18:00,2026-07-28 18:50
PU-1069,2026-07-28,Garden Hoses 50ft,10,units,XPO,2026-07-28 18:00,2026-07-28 18:27,2026-07-28 19:14
PU-1070,2026-07-29,Copy Paper 8.5x11,1,pallets,Averitt Express,2026-07-29 06:00,2026-07-29 05:57,2026-07-29 06:45
PU-1071,2026-07-29,Vinyl Gloves Box-100,250,cases,UPS,2026-07-29 07:30,2026-07-29 07:02,2026-07-29 08:14
PU-1072,2026-07-29,Vinyl Gloves Box-100,388,cases,Averitt Express,2026-07-29 09:00,2026-07-29 09:13,2026-07-29 10:52
PU-1073,2026-07-29,LED Light Bulbs 60W,67,cases,Knight-Swift,2026-07-29 09:00,2026-07-29 09:01,2026-07-29 09:38
PU-1074,2026-07-29,Paper Towels 12-Roll,22,pallets,Werner Enterprises,2026-07-29 11:30,2026-07-29 11:26,2026-07-29 13:08
PU-1075,2026-07-29,Breakfast Cereal 18oz,252,cases,TForce Freight,2026-07-29 14:30,2026-07-29 14:35,2026-07-29 15:26
PU-1076,2026-07-29,Bottled Water 24-Pack,176,cases,Estes Express Lines,2026-07-29 15:30,2026-07-29 15:24,2026-07-29 16:21
PU-1077,2026-07-29,Dog Food 30lb Bags,21,pallets,Saia,2026-07-29 16:00,2026-07-29 16:04,2026-07-29 17:18
PU-1078,2026-07-29,Motor Oil 5qt,179,cases,Schneider,2026-07-29 16:30,2026-07-29 16:27,2026-07-29 17:39
PU-1079,2026-07-29,Microwave Ovens 1.1cu ft,63,units,Knight-Swift,2026-07-29 16:30,2026-07-29 16:54,2026-07-29 17:38
PU-1080,2026-07-29,Microwave Ovens 1.1cu ft,15,units,ABF Freight,2026-07-29 17:00,2026-07-29 17:03,2026-07-29 17:45
PU-1081,2026-07-30,Bottled Water 24-Pack,133,cases,FedEx Freight,2026-07-30 08:30,2026-07-30 08:43,2026-07-30 09:42
PU-1082,2026-07-30,Dog Food 30lb Bags,19,pallets,Schneider,2026-07-30 09:30,2026-07-30 09:37,2026-07-30 11:05
PU-1083,2026-07-30,Motor Oil 5qt,95,cases,FedEx Freight,2026-07-30 11:00,2026-07-30 11:31,2026-07-30 12:41
PU-1084,2026-07-30,Dog Food 30lb Bags,24,pallets,XPO,2026-07-30 13:00,2026-07-30 12:58,2026-07-30 14:27
PU-1085,2026-07-30,Garden Hoses 50ft,65,units,Dayton Freight,2026-07-30 13:30,2026-07-30 13:37,2026-07-30 14:35
PU-1086,2026-07-30,Vinyl Gloves Box-100,41,cases,XPO,2026-07-30 16:30,2026-07-30 16:27,2026-07-30 16:52
PU-1087,2026-07-30,Canned Tomatoes 28oz,24,pallets,Old Dominion Freight Line,2026-07-30 17:30,2026-07-30 19:16,2026-07-30 20:42
PU-1088,2026-07-30,Vinyl Gloves Box-100,111,cases,J.B. Hunt,2026-07-30 17:30,2026-07-30 16:55,2026-07-30 18:26
PU-1089,2026-07-31,Motor Oil 5qt,147,cases,Old Dominion Freight Line,2026-07-31 07:30,2026-07-31 07:34,2026-07-31 08:15
PU-1090,2026-07-31,Microwave Ovens 1.1cu ft,102,units,Averitt Express,2026-07-31 09:30,2026-07-31 09:20,2026-07-31 10:10
PU-1091,2026-07-31,HVAC Air Filters 20x20,211,cases,FedEx Freight,2026-07-31 10:30,2026-07-31 10:47,2026-07-31 12:00
PU-1092,2026-07-31,Paper Towels 12-Roll,13,pallets,Averitt Express,2026-07-31 11:00,2026-07-31 10:55,2026-07-31 11:22
PU-1093,2026-07-31,Copy Paper 8.5x11,6,pallets,ABF Freight,2026-07-31 14:30,2026-07-31 14:43,2026-07-31 15:16
PU-1094,2026-07-31,Canned Tomatoes 28oz,7,pallets,Dayton Freight,2026-07-31 14:30,2026-07-31 14:28,2026-07-31 15:13
PU-1095,2026-07-31,Vinyl Gloves Box-100,253,cases,Old Dominion Freight Line,2026-07-31 15:00,2026-07-31 15:08,2026-07-31 16:21
PU-1096,2026-07-31,Canned Tomatoes 28oz,13,pallets,TForce Freight,2026-07-31 15:30,2026-07-31 17:23,2026-07-31 18:15
PU-1097,2026-07-31,Canned Tomatoes 28oz,16,pallets,XPO,2026-07-31 15:30,2026-07-31 15:20,2026-07-31 16:25
PU-1098,2026-07-31,Vinyl Gloves Box-100,259,cases,J.B. Hunt,2026-07-31 17:30,2026-07-31 17:40,2026-07-31 18:42
PU-1099,2026-08-03,Copy Paper 8.5x11,19,pallets,TForce Freight,2026-08-03 06:00,2026-08-03 07:37,2026-08-03 09:05
PU-1100,2026-08-03,HVAC Air Filters 20x20,310,cases,J.B. Hunt,2026-08-03 07:30,2026-08-03 07:17,2026-08-03 08:27
PU-1101,2026-08-03,Garden Hoses 50ft,13,units,XPO,2026-08-03 09:00,2026-08-03 08:46,2026-08-03 09:26
PU-1102,2026-08-03,Microwave Ovens 1.1cu ft,117,units,XPO,2026-08-03 09:30,2026-08-03 09:51,2026-08-03 10:38
PU-1103,2026-08-03,HVAC Air Filters 20x20,21,cases,XPO,2026-08-03 11:00,2026-08-03 10:08,2026-08-03 10:58
PU-1104,2026-08-03,Breakfast Cereal 18oz,347,cases,FedEx Freight,2026-08-03 11:00,2026-08-03 11:52,2026-08-03 13:43
PU-1105,2026-08-03,Microwave Ovens 1.1cu ft,30,units,Schneider,2026-08-03 11:30,2026-08-03 12:25,2026-08-03 13:11
PU-1106,2026-08-03,Garden Hoses 50ft,11,units,R+L Carriers,2026-08-03 13:00,2026-08-03 12:14,2026-08-03 12:39
PU-1107,2026-08-03,LED Light Bulbs 60W,270,cases,Werner Enterprises,2026-08-03 13:00,2026-08-03 14:50,2026-08-03 16:13
PU-1108,2026-08-03,Breakfast Cereal 18oz,365,cases,Saia,2026-08-03 14:30,2026-08-03 14:25,2026-08-03 15:40
PU-1109,2026-08-03,Laundry Detergent 100oz,278,cases,TForce Freight,2026-08-03 17:30,2026-08-03 17:26,2026-08-03 18:28
PU-1110,2026-08-04,Ceramic Floor Tile,16,pallets,FedEx Freight,2026-08-04 09:30,2026-08-04 09:28,2026-08-04 10:33
PU-1111,2026-08-04,Office Chairs,83,units,R+L Carriers,2026-08-04 10:00,2026-08-04 10:08,2026-08-04 11:00
PU-1112,2026-08-04,Breakfast Cereal 18oz,175,cases,Schneider,2026-08-04 11:00,2026-08-04 10:40,2026-08-04 11:32
PU-1113,2026-08-04,Copy Paper 8.5x11,6,pallets,TForce Freight,2026-08-04 12:30,2026-08-04 12:50,2026-08-04 13:41
PU-1114,2026-08-04,Dog Food 30lb Bags,1,pallets,ABF Freight,2026-08-04 15:30,2026-08-04 15:44,2026-08-04 16:09
PU-1115,2026-08-04,Microwave Ovens 1.1cu ft,116,units,Werner Enterprises,2026-08-04 16:30,2026-08-04 16:26,2026-08-04 16:55
PU-1116,2026-08-04,Dog Food 30lb Bags,9,pallets,Averitt Express,2026-08-04 16:30,2026-08-04 16:00,2026-08-04 16:55
PU-1117,2026-08-04,Garden Hoses 50ft,7,units,ABF Freight,2026-08-04 17:00,2026-08-04 17:10,2026-08-04 18:21
PU-1118,2026-08-05,Paper Towels 12-Roll,25,pallets,UPS,2026-08-05 09:00,2026-08-05 08:55,2026-08-05 10:16
PU-1119,2026-08-05,Canned Tomatoes 28oz,3,pallets,FedEx Freight,2026-08-05 11:00,2026-08-05 12:40,2026-08-05 13:16
PU-1120,2026-08-05,Copy Paper 8.5x11,1,pallets,UPS,2026-08-05 13:00,2026-08-05 12:51,2026-08-05 13:16
PU-1121,2026-08-05,HVAC Air Filters 20x20,395,cases,FedEx Freight,2026-08-05 13:00,2026-08-05 13:13,2026-08-05 14:13
PU-1122,2026-08-05,Motor Oil 5qt,166,cases,Werner Enterprises,2026-08-05 13:30,2026-08-05 13:20,2026-08-05 14:12
PU-1123,2026-08-05,Bottled Water 24-Pack,107,cases,FedEx Freight,2026-08-05 15:30,2026-08-05 14:47,2026-08-05 15:40
PU-1124,2026-08-05,LED Light Bulbs 60W,62,cases,TForce Freight,2026-08-05 15:30,2026-08-05 15:12,2026-08-05 15:50
PU-1125,2026-08-05,Paper Towels 12-Roll,22,pallets,TForce Freight,2026-08-05 16:30,2026-08-05 16:03,2026-08-05 17:01
PU-1126,2026-08-06,Microwave Ovens 1.1cu ft,105,units,Knight-Swift,2026-08-06 06:30,2026-08-06 06:36,2026-08-06 07:26
PU-1127,2026-08-06,LED Light Bulbs 60W,23,cases,Averitt Express,2026-08-06 08:30,2026-08-06 07:52,2026-08-06 08:17
PU-1128,2026-08-06,Paper Towels 12-Roll,7,pallets,XPO,2026-08-06 09:00,2026-08-06 08:38,2026-08-06 09:35
PU-1129,2026-08-06,Dog Food 30lb Bags,14,pallets,J.B. Hunt,2026-08-06 10:00,2026-08-06 09:56,2026-08-06 10:59
PU-1130,2026-08-06,Laundry Detergent 100oz,370,cases,Schneider,2026-08-06 10:00,2026-08-06 10:21,2026-08-06 11:30
PU-1131,2026-08-06,Microwave Ovens 1.1cu ft,22,units,ABF Freight,2026-08-06 12:00,2026-08-06 12:05,2026-08-06 12:52
PU-1132,2026-08-06,Motor Oil 5qt,141,cases,Dayton Freight,2026-08-06 12:00,2026-08-06 11:27,2026-08-06 12:21
PU-1133,2026-08-06,Ceramic Floor Tile,5,pallets,J.B. Hunt,2026-08-06 15:00,2026-08-06 15:20,2026-08-06 16:06
PU-1134,2026-08-06,Ceramic Floor Tile,4,pallets,Schneider,2026-08-06 17:30,2026-08-06 17:32,2026-08-06 18:20
PU-1135,2026-08-07,LED Light Bulbs 60W,238,cases,Averitt Express,2026-08-07 06:00,2026-08-07 07:12,2026-08-07 08:20
PU-1136,2026-08-07,Dog Food 30lb Bags,19,pallets,Old Dominion Freight Line,2026-08-07 06:00,2026-08-07 06:06,2026-08-07 06:49
PU-1137,2026-08-07,Copy Paper 8.5x11,1,pallets,Old Dominion Freight Line,2026-08-07 07:30,2026-08-07 07:42,2026-08-07 08:07
PU-1138,2026-08-07,Dog Food 30lb Bags,5,pallets,Schneider,2026-08-07 09:00,2026-08-07 09:04,2026-08-07 10:05
PU-1139,2026-08-07,Canned Tomatoes 28oz,20,pallets,Knight-Swift,2026-08-07 10:30,2026-08-07 10:32,2026-08-07 11:22
PU-1140,2026-08-07,HVAC Air Filters 20x20,156,cases,TForce Freight,2026-08-07 12:00,2026-08-07 11:53,2026-08-07 12:49
PU-1141,2026-08-07,Copy Paper 8.5x11,18,pallets,TForce Freight,2026-08-07 12:30,2026-08-07 13:12,2026-08-07 14:33
PU-1142,2026-08-07,Garden Hoses 50ft,104,units,UPS,2026-08-07 13:00,2026-08-07 12:35,2026-08-07 13:27
PU-1143,2026-08-07,Garden Hoses 50ft,79,units,R+L Carriers,2026-08-07 13:00,2026-08-07 13:14,2026-08-07 14:07
PU-1144,2026-08-07,HVAC Air Filters 20x20,237,cases,FedEx Freight,2026-08-07 17:30,2026-08-07 18:07,2026-08-07 19:09
PU-1145,2026-08-07,Paper Towels 12-Roll,3,pallets,Old Dominion Freight Line,2026-08-07 18:00,2026-08-07 17:56,2026-08-07 18:38
PU-1146,2026-08-07,Laundry Detergent 100oz,326,cases,Knight-Swift,2026-08-07 18:00,2026-08-07 19:37,2026-08-07 21:40
PU-1147,2026-08-10,LED Light Bulbs 60W,94,cases,R+L Carriers,2026-08-10 06:00,2026-08-10 06:00,2026-08-10 06:52
PU-1148,2026-08-10,Office Chairs,10,units,R+L Carriers,2026-08-10 10:30,2026-08-10 12:18,2026-08-10 12:53
PU-1149,2026-08-10,Laundry Detergent 100oz,242,cases,Averitt Express,2026-08-10 11:00,2026-08-10 11:09,2026-08-10 12:05
PU-1150,2026-08-10,Bottled Water 24-Pack,198,cases,FedEx Freight,2026-08-10 11:30,2026-08-10 10:49,2026-08-10 12:02
PU-1151,2026-08-10,Laundry Detergent 100oz,268,cases,Knight-Swift,2026-08-10 12:00,2026-08-10 12:00,2026-08-10 13:06
PU-1152,2026-08-10,Paper Towels 12-Roll,8,pallets,Averitt Express,2026-08-10 13:00,2026-08-10 13:37,2026-08-10 14:11
PU-1153,2026-08-10,HVAC Air Filters 20x20,244,cases,XPO,2026-08-10 13:00,2026-08-10 13:14,2026-08-10 13:47
PU-1154,2026-08-10,Vinyl Gloves Box-100,342,cases,Werner Enterprises,2026-08-10 13:00,2026-08-10 12:56,2026-08-10 14:07
PU-1155,2026-08-10,Motor Oil 5qt,60,cases,Dayton Freight,2026-08-10 13:30,2026-08-10 13:20,2026-08-10 13:45
PU-1156,2026-08-10,Vinyl Gloves Box-100,174,cases,XPO,2026-08-10 17:30,2026-08-10 17:49,2026-08-10 19:25
PU-1157,2026-08-11,Bottled Water 24-Pack,191,cases,Estes Express Lines,2026-08-11 07:00,2026-08-11 07:13,2026-08-11 08:06
PU-1158,2026-08-11,Laundry Detergent 100oz,223,cases,TForce Freight,2026-08-11 08:00,2026-08-11 07:38,2026-08-11 08:25
PU-1159,2026-08-11,LED Light Bulbs 60W,358,cases,Old Dominion Freight Line,2026-08-11 08:00,2026-08-11 08:22,2026-08-11 09:54
PU-1160,2026-08-11,Breakfast Cereal 18oz,334,cases,FedEx Freight,2026-08-11 08:30,2026-08-11 08:30,2026-08-11 10:22
PU-1161,2026-08-11,Vinyl Gloves Box-100,383,cases,Estes Express Lines,2026-08-11 09:00,2026-08-11 08:47,2026-08-11 10:22
PU-1162,2026-08-11,Copy Paper 8.5x11,10,pallets,XPO,2026-08-11 10:30,2026-08-11 10:55,2026-08-11 12:06
PU-1163,2026-08-11,Canned Tomatoes 28oz,26,pallets,FedEx Freight,2026-08-11 11:00,2026-08-11 11:04,2026-08-11 12:41
PU-1164,2026-08-11,Vinyl Gloves Box-100,302,cases,R+L Carriers,2026-08-11 13:30,2026-08-11 13:35,2026-08-11 14:38
PU-1165,2026-08-11,Paper Towels 12-Roll,25,pallets,R+L Carriers,2026-08-11 14:00,2026-08-11 14:26,2026-08-11 15:55
PU-1166,2026-08-11,Vinyl Gloves Box-100,100,cases,Saia,2026-08-11 15:00,2026-08-11 14:59,2026-08-11 15:24
PU-1167,2026-08-11,Garden Hoses 50ft,37,units,ABF Freight,2026-08-11 16:30,2026-08-11 16:41,2026-08-11 17:15
PU-1168,2026-08-11,Breakfast Cereal 18oz,260,cases,TForce Freight,2026-08-11 17:00,2026-08-11 18:10,2026-08-11 19:02
PU-1169,2026-08-12,Copy Paper 8.5x11,3,pallets,Knight-Swift,2026-08-12 06:30,2026-08-12 08:02,2026-08-12 08:46
PU-1170,2026-08-12,Bottled Water 24-Pack,304,cases,Werner Enterprises,2026-08-12 09:30,2026-08-12 10:47,2026-08-12 12:22
PU-1171,2026-08-12,Paper Towels 12-Roll,10,pallets,UPS,2026-08-12 10:00,2026-08-12 10:15,2026-08-12 11:11
PU-1172,2026-08-12,Copy Paper 8.5x11,19,pallets,Schneider,2026-08-12 11:30,2026-08-12 12:53,2026-08-12 13:57
PU-1173,2026-08-12,Microwave Ovens 1.1cu ft,44,units,Knight-Swift,2026-08-12 11:30,2026-08-12 11:30,2026-08-12 12:19
PU-1174,2026-08-12,Microwave Ovens 1.1cu ft,20,units,J.B. Hunt,2026-08-12 12:30,2026-08-12 12:34,2026-08-12 13:33
PU-1175,2026-08-12,Copy Paper 8.5x11,21,pallets,UPS,2026-08-12 12:30,2026-08-12 12:18,2026-08-12 13:16
PU-1176,2026-08-12,Vinyl Gloves Box-100,311,cases,Estes Express Lines,2026-08-12 13:00,2026-08-12 13:04,2026-08-12 14:39
PU-1177,2026-08-12,HVAC Air Filters 20x20,226,cases,Schneider,2026-08-12 13:30,2026-08-12 15:15,2026-08-12 16:24
PU-1178,2026-08-12,Canned Tomatoes 28oz,17,pallets,Old Dominion Freight Line,2026-08-12 14:00,2026-08-12 15:01,2026-08-12 15:55
PU-1179,2026-08-12,Dog Food 30lb Bags,1,pallets,Schneider,2026-08-12 14:00,2026-08-12 15:11,2026-08-12 15:39
PU-1180,2026-08-12,Copy Paper 8.5x11,25,pallets,Dayton Freight,2026-08-12 17:30,2026-08-12 17:41,2026-08-12 18:59
PU-1181,2026-08-13,Breakfast Cereal 18oz,399,cases,Werner Enterprises,2026-08-13 06:00,2026-08-13 06:29,2026-08-13 08:21
PU-1182,2026-08-13,Motor Oil 5qt,265,cases,J.B. Hunt,2026-08-13 09:00,2026-08-13 09:05,2026-08-13 10:37
PU-1183,2026-08-13,Canned Tomatoes 28oz,18,pallets,Dayton Freight,2026-08-13 09:30,2026-08-13 11:00,2026-08-13 11:40
PU-1184,2026-08-13,Copy Paper 8.5x11,12,pallets,Werner Enterprises,2026-08-13 10:00,2026-08-13 10:51,2026-08-13 11:32
PU-1185,2026-08-13,Copy Paper 8.5x11,3,pallets,R+L Carriers,2026-08-13 11:00,2026-08-13 11:57,2026-08-13 12:55
PU-1186,2026-08-13,Copy Paper 8.5x11,11,pallets,J.B. Hunt,2026-08-13 16:00,2026-08-13 16:58,2026-08-13 17:44
PU-1187,2026-08-13,HVAC Air Filters 20x20,244,cases,Werner Enterprises,2026-08-13 16:00,2026-08-13 16:01,2026-08-13 16:52
PU-1188,2026-08-13,Ceramic Floor Tile,22,pallets,Schneider,2026-08-13 16:30,2026-08-13 16:23,2026-08-13 17:47
PU-1189,2026-08-13,Copy Paper 8.5x11,21,pallets,J.B. Hunt,2026-08-13 17:00,2026-08-13 17:27,2026-08-13 19:01
PU-1190,2026-08-13,HVAC Air Filters 20x20,280,cases,Knight-Swift,2026-08-13 17:30,2026-08-13 18:31,2026-08-13 19:53
PU-1191,2026-08-13,Canned Tomatoes 28oz,6,pallets,Old Dominion Freight Line,2026-08-13 17:30,2026-08-13 17:17,2026-08-13 17:43
PU-1192,2026-08-13,Garden Hoses 50ft,100,units,UPS,2026-08-13 17:30,2026-08-13 17:47,2026-08-13 18:21
PU-1193,2026-08-13,Microwave Ovens 1.1cu ft,30,units,Averitt Express,2026-08-13 18:00,2026-08-13 18:00,2026-08-13 18:32
